0.411111988993*春晚 0.180110356845*机会 0.140174333065*购物 0.134693148323*现场 0.133910172774*录制
0.229339085779*春晚 0.198532959913*除夕 0.196577027794*过年 0.189731395375*中国 0.185819531138*央视
0.593183837187*春晚 0.125246642718*卫视 0.102917438126*节目 0.0902969084787*回家 0.0883551734899*亮相
0.275226890957*春晚 0.22498884*冯小刚 0.177807620768*央视 0.169070330284*总导演 0.152906317992*邀请
0.386395570995*春晚 0.211912895405*节目 0.14971126303*录制 0.141804028124*春节 0.110176242446*参加
0.35515847128*邓紫棋 0.31941533439*我是歌手 0.118960338457*唱 0.1043766639*韦唯 0.102089191973*喜欢
0.235676624363*晚会 0.201822914746*停办 0.195312631354*春晚 0.184635601407*文化部 0.18255222813*春节
0.412362531183*春晚 0.183981429133*央视春晚 0.145125227185*舞台 0.130851308489*春节 0.12767950401*晚会
0.459219122152*春晚 0.18955666821*节目 0.120889761389*马 0.119459016437*央视春晚 0.110875431812*参加
0.392910534159*春晚 0.183075101484*邀请 0.158032819531*崔健 0.136444953148*央视 0.129536591678*马
0.262214213324*春晚 0.205092650498*央视春晚 0.204404482307*歌曲 0.168617677533*演唱 0.159670976339*李敏镐
0.239730267432*宋祖英 0.20873763013*春晚 0.187080218593*缺席 0.185586568896*参加 0.178865314949*马
0.29720009475*春晚 0.215617281411*春节 0.187646031123*综艺 0.158509312073*高清 0.141027280643*联欢晚会
0.451685526731*春晚 0.155078060163*冯小刚 0.146462883588*中国 0.132924807087*赵本山 0.11384872243*小品
0.309618891563*春晚 0.216141916602*马 0.170999440721*央视春晚 0.169175477524*央视 0.13406427359*记者
0.40800963327*春晚 0.214191113119*节目 0.195137793889*央视春晚 0.0926446632114*歌舞 0.0900167965106*节目单
0.233952433014*春晚 0.200828134748*演唱 0.191511891746*苏菲 0.187371218005*搭档 0.186336322486*玛索
0.308803969058*邓紫棋 0.211035253824*泡沫 0.171347102814*爱 0.159730892917*幸福 0.149082781388*春晚
0.431024122679*春晚 0.152300957462*华晨 0.143680709882*宇 0.13984953223*直通 0.133144677748*张亮
0.294961202939*春晚 0.209831889107*马 0.17266261537*章子怡 0.163070607351*黄晓明 0.159473685232*宋祖英
