0.335449848552*小苹果 0.24233075576*世界杯 0.168273841507*兄弟 0.132998050497*生命 0.120947503684*温暖
0.322324701255*NBA 0.211917265915*热火 0.199692658416*马刺 0.158730208761*总决赛 0.107335165654*比赛
0.335378970891*世界杯 0.214912228156*德国 0.170175447845*巴西 0.162573554536*中国 0.116959798574*世界
0.235415656097*柳艳兵 0.231640180396*救人 0.197174465144*考生 0.195469565223*江西 0.14030013314*参加
0.285802824637*世界杯 0.249430609134*巴西 0.170012587516*德国 0.14864448424*冠军 0.146109494473*夺冠
0.388308432397*归来 0.183645499909*游戏 0.161007871571*世界杯 0.134674182584*启动 0.132364013539*玩家
0.512754137843*高考 0.189437622509*结束 0.125805813637*考生 0.0919440611074*孩子 0.0800583649037*考试
0.452568849864*高考 0.170213687048*考生 0.143338038146*作文 0.134424894552*考试 0.0994545303908*大学
0.201960012728*红包 0.20077594789*昵称 0.199754897315*站队 0.199387420202*佩戴 0.198121721865*国旗
0.395242708329*世界杯 0.189392569875*德国 0.143061161988*准备 0.14143523737*啤酒 0.130868322437*公司
0.241931018992*中国 0.238162278107*招远 0.193875420375*观看 0.165607095515*归来 0.160424187012*黄海波
0.270436635243*高考 0.251077781261*作文题 0.199594228931*高考作文 0.141685968008*作文 0.137205386557*世界
0.457313566483*仙剑 0.143098511855*灵儿 0.142973535589*灵儿 0.13509316397*喜欢 0.121521222103*记得
0.437953708377*舌尖 0.234121027677*美食 0.140064431515*舌尖上的中国 0.0985310590297*中国 0.0893297734015*高考
0.212950409167*德国 0.210057672589*关注 0.208277546736*支持 0.186248521372*球迷 0.182465850136*世界杯
0.202978988571*世界杯 0.200627092478*小伙伴 0.199421214474*行动 0.198516431846*免费 0.198456272631*巴西
0.28764061549*西班牙 0.239208411359*狗肉 0.206705985529*竞技风暴 0.161485405157*玉林 0.104959582466*世界杯
0.215008075084*世界杯 0.20032141121*现金 0.200098765381*围观 0.193447895355*大奖 0.19112385297*福利
0.42249715839*世界杯 0.285753109242*巴西 0.123780714179*比赛 0.09158120647*体育 0.0763878117189*时间
0.369937443211*世界杯 0.205268499795*足球 0.179235555595*巴西 0.129029222862*冠军 0.116529278537*加油
