0.226337626266*德国 0.216507812032*世界杯 0.203283264471*西班牙 0.193808411753*巴西 0.160062885477*冠军
0.392198964129*归来 0.222209867769*仙剑 0.154015789993*喜欢 0.125041758887*游戏 0.106533619222*电影
0.408504559938*舌尖 0.208965589862*美食 0.166321924331*中国 0.126781855474*舌尖上的中国 0.0894260703952*观看
0.379303544988*小苹果 0.186130631604*生命 0.149499301504*高考 0.146055261705*兄弟 0.139011260199*归来
0.51350242177*高考 0.154615388022*考生 0.153112576525*结束 0.0952159516502*考试 0.0835536620328*作文
0.358873415238*狗肉 0.24411829377*玉林 0.16491634617*广西 0.118920762239*人士 0.113171182582*爱狗
0.210754051447*命名 0.20493735482*号线 0.201014729654*世界杯 0.19506264518*西单 0.188231218898*西桥
0.21114050491*支持 0.203668227763*球迷 0.202247894817*俱乐部 0.191749645569*关注 0.191193726941*国旗
0.349972093459*世界杯 0.282266581268*巴西 0.125965563139*球队 0.124241756167*中国队 0.117554005966*历史
0.415709884154*NBA 0.176266168361*总决赛 0.139939017147*比赛 0.139833747177*世界杯 0.128251183161*热火
0.388356945841*高考 0.219819648644*考生 0.143105036565*高校 0.124740319442*柳艳兵 0.123978049507*大学
0.218479807235*世界杯 0.213166570051*观看 0.193623856007*年薪 0.19047183673*工作 0.184257929977*足球
0.421445308695*高考 0.153846553741*单词 0.147816681825*背单词 0.14113479136*百词 0.135756664379*词汇
0.421833691244*高考 0.209572192457*作文 0.132540868347*结束 0.128151179117*北京 0.107902068834*高考作文
0.217596095926*世界杯 0.202733717849*现金 0.197724236562*大奖 0.196463461071*围观 0.185482488593*福利
0.433877454459*世界杯 0.181203051608*活动 0.136359868084*机会 0.134438156014*巴西 0.114121469835*参与
0.397900426767*高考 0.187809015891*考生 0.153819797835*老师 0.132663232675*考场 0.127807526832*结束
0.380521965651*世界杯 0.228023063906*球迷 0.162215293215*足球 0.11583397467*激情 0.113405702558*巴西
0.210526315789*世界杯 0.204854031*巴西 0.19778684032*免费 0.193602385147*小伙伴 0.193230427743*队伍
0.286576786025*世界杯 0.244314270786*巴西 0.191889732653*德国 0.152344646278*西班牙 0.124874564258*阿根廷
