0.62544047972*高考 0.114785349957*作文 0.0882572043207*考试 0.0865669567182*考生 0.0849500092847*人生
0.403309630908*舌尖 0.23600900887*美食 0.133460640051*中国 0.131263424642*世界杯 0.0959572955286*活动
0.249689561568*世界杯 0.235345824996*游戏 0.210023162694*归来 0.16203314047*玩家 0.142908310272*德国
0.208804257315*俱乐部 0.201015158075*球迷 0.198429464375*红包 0.196641708525*现金 0.19510941171*支持
0.320829413314*小苹果 0.197299420464*世界杯 0.177294622361*工作 0.153163455387*时间 0.151413088473*年薪
0.296567928975*归来 0.238465912205*加油 0.164071491204*机会 0.151672877733*活动 0.149221789883*世界杯
0.23308169539*杨幂 0.222646960622*糯米 0.188345864757*酸奶 0.182353595853*孩子 0.173571883378*满大街
0.272799331791*发现 0.208422682328*活动 0.201716526529*世界杯 0.163895417585*监考 0.153166041766*作弊
0.432200599163*狗肉 0.236215152562*玉林 0.116955030641*不吃 0.116676492085*广西 0.0979527255496*抵制
0.250828955878*喜欢 0.216625179436*世界杯 0.212893537141*狗肉 0.17703153345*中国 0.142620794094*朋友
0.240291691978*世界杯 0.223590095826*德国 0.22106452974*巴西 0.182894604071*西班牙 0.132159078385*夺冠
0.210301616573*知识 0.203898687289*改变 0.196855465075*明白 0.194507724338*高考 0.194436506725*文化
0.424597424808*世界杯 0.213518283973*巴西 0.129493334357*球队 0.116311538306*比赛 0.116079418555*参与
0.207874194777*现金 0.207399234892*大奖 0.199206881004*世界杯 0.19488513012*围观 0.190634559208*红包
0.426317605196*世界杯 0.242465378057*巴西 0.121648842321*等待 0.109483997516*小伙伴 0.10008417691*归来
0.317684107507*NBA 0.21657335887*马刺 0.194391008777*热火 0.149195220256*总决赛 0.12215630459*篮球
0.361873835952*世界杯 0.257396054084*巴西 0.180625053996*球迷 0.10416703408*足球 0.0959380218894*激情
0.20044259986*免费 0.200308524341*队伍 0.200308524341*踢球 0.199973184896*加入 0.198967166562*天气
0.42784439764*高考 0.173513668543*考生 0.153209366839*结束 0.134248741823*大学 0.111183825155*老师
0.267624330669*世界杯 0.249828351808*高考 0.178473760681*结束 0.159651296454*准备 0.144422260388*加入
