0.207171052288*红包 0.206111171986*现金 0.197112299047*国旗 0.195512586378*站队 0.194092890301*佩戴
0.232838728169*杨幂 0.216367237897*糯米 0.190951750547*孩子 0.190579214358*酸奶 0.169263069029*满大街
0.26114619666*红包 0.254777046614*现金 0.236376461683*球迷 0.12388236143*关注 0.123817933612*支持
0.21606026305*竞猜 0.215013074528*参与 0.201778030633*世界杯 0.183641215956*好友 0.183507415833*点击
0.389072180366*世界杯 0.242685211022*高考 0.134173008917*巴西 0.117034799848*百词 0.117034799848*单词
0.20821915605*选择 0.207114838584*俱乐部 0.202489789247*支持 0.191168633472*佩戴 0.191007582647*站队
0.238674818681*世界杯 0.211883666519*巴西 0.204435499436*德国 0.177560979271*西班牙 0.167445036092*冠军
0.216604668932*球迷 0.205102068576*支持 0.200278191425*俱乐部 0.192022340475*选择 0.185992730593*国旗
0.447976816847*狗肉 0.24144481754*玉林 0.118818261533*不吃 0.0977554307568*朋友 0.0940046733228*抵制
0.340790006595*世界杯 0.221364487448*开幕 0.148101850968*上海 0.14762898359*黄海波 0.1421146714*影帝
0.261261995145*球迷 0.202786783753*红包 0.187940093517*世界杯 0.177755217583*巴西 0.170255910002*激情
0.498247481582*高考 0.156089964714*考生 0.134404309804*结束 0.126381866133*大学 0.084876377767*老师
0.346989313369*世界杯 0.299906646678*巴西 0.163310352475*克罗地亚 0.0955404328525*比赛 0.0942532546261*参与
0.20581087574*世界杯 0.202261091721*加入 0.200354926821*免费 0.196805400706*巴西 0.194767705012*小伙伴
0.225105949619*围观 0.208351508546*现金 0.20491776328*世界杯 0.182102920733*大奖 0.179521857822*小伙伴
0.281858706411*舌尖 0.275995328667*高考 0.163476725224*黄奕 0.152957680284*美食 0.125711559414*中国
0.277865445764*世界杯 0.220545943906*德国 0.175929097288*意大利 0.173229725965*巴西 0.152429787077*中国
0.309444571712*世界杯 0.303706789926*NBA 0.157675624505*总决赛 0.118917836999*巴西 0.110255176857*热火
0.211838570363*选择 0.202154996288*站队 0.196032938639*关注 0.195854962804*国旗 0.194118531906*佩戴
0.206410031832*德国 0.205206747903*日本 0.197331024018*韩国 0.196018403371*意大利 0.195033792876*美国
