0.363988535149*狗肉 0.211023629685*玉林 0.163569730768*中国 0.148346848917*世界杯 0.113071255481*朋友
0.331266886339*世界杯 0.298652032507*巴西 0.134676490474*克罗地亚 0.119900692958*比赛 0.115503897721*揭幕战
0.24524313533*选择 0.228204326335*支持 0.194987467162*球迷 0.166677492469*俱乐部 0.164887578704*红包
0.360301041906*高考 0.174699769346*单词 0.163796649017*背单词 0.158468798059*百词 0.142733741673*词汇
0.318975304656*黄奕 0.206019629458*出轨 0.18906757649*世界杯 0.172461651973*老公 0.113475837422*仙剑
0.256654099742*西班牙 0.24950888475*世界杯 0.177954664757*荷兰 0.177141827135*巴西 0.138740523616*德国
0.34298902446*高考 0.186523842714*大学 0.167426483949*结束 0.151964247455*同学 0.151096401422*孩子
0.328063131467*NBA 0.21210580458*马刺 0.197965437281*热火 0.168521142679*总决赛 0.0933444839937*球队
0.220795909027*竞猜 0.205660205121*参与 0.193838335467*西班牙 0.191181295284*世界杯 0.188524255102*下注
0.212780665034*选择 0.209905162616*世界杯 0.201229410168*比赛 0.189331354493*竞猜 0.186753407689*对阵
0.215405636502*榜单 0.206668721578*点击 0.201977101838*好友 0.190990262842*下注 0.18495827724*选择
0.421695263369*高考 0.198008375762*考生 0.173970952893*考试 0.119278894094*学校 0.0870465138815*成绩
0.405986195887*世界杯 0.23897042273*巴西 0.131740570436*球迷 0.118697972131*NBA 0.104604838816*队伍
0.409449900077*世界杯 0.179723544926*球迷 0.152349099767*支持 0.141137721697*足球 0.117339733534*喜欢
0.21129520372*现金 0.201215654029*红包 0.197096227276*佩戴 0.196256368258*站队 0.194136546717*俱乐部
0.266159960416*杨幂 0.215882874932*糯米 0.192844729905*孩子 0.17698892282*酸奶 0.148123511928*食物
0.346267394009*世界杯 0.18701632434*参加 0.172678814707*小伙伴 0.147758379485*竞猜 0.14627908746*参与
0.222713797682*参与 0.219822331232*世界杯 0.214143917853*竞猜 0.173976705843*西班牙 0.16934324739*点击
0.516377773875*高考 0.19676030939*结束 0.104418457311*大学 0.0939333487278*毕业 0.088510110696*考生
0.355863721662*世界杯 0.221495837307*小苹果 0.180384061685*观看 0.133306289429*巴西 0.108950089918*中国
