0.279485312703*世界杯 0.231209614525*巴西 0.18223272095*比赛 0.179427322116*中国 0.127645029707*大力神杯
0.293675429355*西班牙 0.279713436692*荷兰 0.221380722365*世界杯 0.119387312777*巴西 0.0858430988119*比赛
0.553345832731*高考 0.154029273933*考生 0.106075934832*考试 0.100810744994*单词 0.08573821351*背单词
0.311583540947*世界杯 0.222992666322*巴西 0.20257857226*免费 0.143778509273*小伙伴 0.119066711198*踢球
0.241898401465*德国 0.219657417151*世界杯 0.205976599636*巴西 0.169367368912*夺冠 0.163100212835*冠军
0.228448466116*调查 0.20896175262*苏荣 0.198833038501*主席 0.194649347258*接受 0.169107395505*违法
0.223912381871*世界杯 0.202348488655*下注 0.200053450068*竞猜 0.189004647683*选择 0.184681031723*点击
0.350911590067*小苹果 0.175517544533*兄弟 0.159913411154*看看 0.15930847538*电影 0.154348978866*下载
0.311373008943*舌尖 0.195450286508*世界杯 0.185441473097*狗肉 0.163967692271*美食 0.143767539181*德国
0.231925991497*世界杯 0.211049099882*参加 0.201718330479*小伙伴 0.178895178821*围观 0.17641139932*现金
0.447540492924*世界杯 0.148739007208*大奖 0.141803774627*参加 0.139442987981*告诉 0.122473737261*小伙伴
0.289589786914*世界杯 0.229754315899*参与 0.21785526342*竞猜 0.137077903792*意大利 0.125722729975*英格兰
0.242850088501*世界杯 0.227744246996*NBA 0.221171654803*球迷 0.171010517295*喜欢 0.137223492406*足球
0.356234866135*世界杯 0.213741721475*高考 0.186910824451*德国 0.130348826288*西班牙 0.112763761652*准备
0.203629152233*俱乐部 0.200772552014*红包 0.199766620162*现金 0.198519465306*球迷 0.197312210284*支持
0.319725287312*西班牙 0.235474866673*荷兰 0.205458904706*世界杯 0.120025424975*范佩西 0.119315516334*比赛
0.320542176887*世界杯 0.217664458808*西班牙 0.164406225859*足球 0.150512943132*巴西 0.146874195314*荷兰
0.359817170499*高考 0.193556430404*结束 0.191811683013*大学 0.132299119987*同学 0.122515596098*孩子
0.343080812481*世界杯 0.195812955773*巴西 0.179457142566*西班牙 0.155708503359*荷兰 0.125940585822*比赛
0.334826381664*作文 0.193249935632*翻译 0.17303861046*听力 0.170082890808*高考 0.128802181435*阅读
