0.427321760036*高考 0.176573342805*咨询 0.145979379725*北京 0.127622585222*孩子 0.122502932212*服务员
0.231468883955*世界杯 0.220750973049*手机 0.210663756198*参与 0.178150102963*阿根廷 0.158966283835*球迷
0.236731033661*世界杯 0.23301079978*免费 0.188078213726*小伙伴 0.181443872161*巴西 0.160736080672*加入
0.21924214433*参与 0.216144186778*竞猜 0.207240229471*世界杯 0.178708307489*点击 0.178665131931*下注
0.295471376989*世界杯 0.206566107865*西班牙 0.198566111342*巴西 0.159245435217*荷兰 0.140150968588*意大利
0.297694475664*世界杯 0.19230777211*西班牙 0.181754992652*德国 0.167869974929*朋友 0.160372784646*高考
0.38964637136*世界杯 0.199495415925*阿根廷 0.177098806255*球迷 0.122960803511*巴西 0.110798602949*参与
0.480683849178*高考 0.15174682691*大学 0.130777709526*结束 0.127907354108*考生 0.108884260278*老师
0.341416669762*高考 0.205371076437*世界杯 0.155095368*英语 0.151556601691*父亲节 0.14656028411*老师
0.260502913959*高考 0.191679288713*单词 0.184694820686*认证 0.182639806306*背单词 0.180483170336*百词
0.261422012669*世界杯 0.228944389236*参加 0.180922494773*小伙伴 0.178294982002*大奖 0.15041612132*围观
0.291660218508*世界杯 0.245888211362*NBA 0.198078738658*西班牙 0.145394000053*比赛 0.11897883142*总决赛
0.310555237983*世界杯 0.197550146066*竞猜 0.193587259343*参与 0.166206620568*比赛 0.132100736039*波黑
0.226152229449*下注 0.209305953262*竞猜 0.193114387331*世界杯 0.189925227914*选择 0.181502202044*好友
0.255921565063*世界杯 0.202082712986*西班牙 0.191097449091*比赛 0.176221517935*荷兰 0.174676754924*巴西
0.201584245901*红包 0.201302457436*俱乐部 0.199295953645*国旗 0.199295953645*现金 0.198521389373*球迷
0.37305213779*世界杯 0.192246805457*球迷 0.148236732413*巴西 0.14458274167*西班牙 0.14188158267*比赛
0.244474005252*小苹果 0.200336349914*兄弟 0.189015326436*筷子 0.184884701363*下载 0.181289617034*电影
0.2701030343*苏荣 0.196633598306*北京 0.192893729775*主席 0.171787653376*世界杯 0.168581984243*时间
0.298195552465*世界杯 0.243901020717*巴西 0.198570258297*德国 0.133552822655*冠军 0.125780345866*预测
