0.248674105567*世界杯 0.201735487475*德国 0.186878131272*比赛 0.186834474916*参与 0.17587780077*选择
0.331046289614*黄奕 0.230186115308*离婚 0.167212752302*家暴 0.15492530624*丈夫 0.116629536536*律师函
0.323722878889*NBA 0.255803087572*马刺 0.161288524993*总决赛 0.137445062038*热火 0.121740446507*篮球
0.383324660306*世界杯 0.246622954611*巴西 0.137051864701*德国 0.118305174906*日本 0.114695345476*比赛
0.433543757175*世界杯 0.208598983749*参加 0.124898422755*NBA 0.117051623345*大奖 0.115907212976*活动
0.217005453004*竞猜 0.199278716613*参与 0.195274531439*点击 0.194993420741*下注 0.193447878203*榜单
0.247768655122*观看 0.220167350034*爱奇艺 0.208758815036*世界杯 0.168184853284*高清 0.155120326525*巴西
0.23380035111*球迷 0.201272893463*关注 0.196065895128*现金 0.19593725164*支持 0.172923608659*俱乐部
0.387719049413*高考 0.221360572587*考生 0.132890859516*工作 0.130429927474*作文 0.127599591009*北京
0.401318712493*世界杯 0.222815895471*德国 0.131154739084*葡萄牙 0.127488404077*阿根廷 0.117222248876*巴西
0.275658929777*世界杯 0.194379576002*巴西 0.186424539973*西班牙 0.171811756287*荷兰 0.171725197961*德国
0.330023279678*NBA 0.231929842527*马刺 0.16650125166*总决赛 0.142375326768*总冠军 0.129170299367*热火
0.325483734697*小苹果 0.187466283428*高考 0.186017005997*世界杯 0.151422018741*喜欢 0.149610957137*支持
0.388814232519*世界杯 0.201077966541*巴西 0.154695999976*西班牙 0.138970153598*球队 0.116441647367*喜欢
0.524921283967*高考 0.165242391426*考生 0.116375247132*志愿 0.0968078095554*认证 0.0966532679197*单词
0.279957389968*世界杯 0.241095256288*德国 0.19567932047*葡萄牙 0.160060066759*参与 0.123207966514*竞猜
0.323181675869*世界杯 0.186373534626*免费 0.173555231834*小伙伴 0.16368876638*官方 0.153200791291*巴西
0.300772891416*世界杯 0.194012881939*阿根廷 0.188905499948*梅西 0.160247066336*进球 0.156061660362*比赛
0.30163141687*NBA 0.241082284422*马刺 0.171868595254*总决赛 0.168423094554*热火 0.1169946089*总冠军
0.462989241681*高考 0.144699203988*大学 0.142857491876*结束 0.131748991293*老师 0.117705071162*同学
