0.285632005985*世界杯 0.224466287424*黄奕 0.191180681862*NBA 0.150782993434*老公 0.147938031294*孩子
0.457230447902*高考 0.141805385118*单词 0.140714554212*背单词 0.139442064417*百词 0.120807548351*词汇
0.36426122887*黄奕 0.205167058959*家暴 0.197648432404*老公 0.149496206951*离婚 0.083427072816*丈夫
0.271141173629*世界杯 0.211721520513*巴西 0.18820297958*参与 0.172125658291*墨西哥 0.156808667986*球迷
0.223419742906*竞猜 0.215908661142*世界杯 0.19696848506*参与 0.185185104684*选择 0.178518006208*点击
0.398667225846*世界杯 0.21441231322*西班牙 0.14057721931*德国 0.126830093293*巴西 0.119513148332*中国
0.383939520408*高考 0.190522303781*考生 0.168494986165*志愿 0.146204838943*填报 0.110838350703*专业
0.43548148634*高考 0.204093618608*结束 0.175587321032*大学 0.111372467936*毕业 0.0734651060848*代理
0.253808764827*葡萄牙 0.230566630304*德国 0.217444366347*世界杯 0.163324380772*穆勒 0.13485585775*C罗
0.343584687241*世界杯 0.192481912628*德国 0.167818283258*巴西 0.159795199586*西班牙 0.136319917287*比赛
0.252653519021*世界杯 0.20457388297*现金 0.202388308693*小伙伴 0.17569472181*红包 0.164689567505*巴西
0.354563287879*世界杯 0.193387619443*小伙伴 0.178923111815*免费 0.144767695414*流量 0.128358285449*山东
0.397007116904*小苹果 0.166381816561*电影 0.158120076279*男孩 0.145157222037*兄弟 0.133333768219*观看
0.349742678325*世界杯 0.179674899021*喜欢 0.167885792417*关注 0.16603003482*巴西 0.136666595417*足球
0.339814759947*世界杯 0.217723278929*德国 0.156011592119*葡萄牙 0.144201932258*巴西 0.142248436746*比赛
0.323689081233*世界杯 0.29390930971*巴西 0.133691906123*比赛 0.130013672471*西班牙 0.118696030464*荷兰
0.348018344097*NBA 0.217622570404*马刺 0.162995501083*热火 0.160969734051*总决赛 0.110393850365*世界杯
0.401194310418*高考 0.183897311404*考生 0.164212690031*河南 0.161106764042*替考 0.0895889241055*事件
0.340952056222*世界杯 0.194444399343*朋友 0.181661917481*时间 0.159538557709*高考 0.123403069246*西班牙
0.268420863654*世界杯 0.230170432784*德国 0.208599036129*葡萄牙 0.159673815907*西班牙 0.133135851526*比赛
