0.348767885533*世界杯 0.33527399949*活动 0.125033428036*参加 0.102540960078*小伙伴 0.0883837268641*围观
0.211935284432*巴西 0.210246355165*世界杯 0.207118810753*墨西哥 0.188758961015*玩转 0.181940588634*内马尔
0.271377326188*西班牙 0.250320991868*世界杯 0.192148450185*智利 0.172591251391*荷兰 0.113561980368*参与
0.293560754843*黄奕 0.202393138841*官方 0.17914540079*世界杯 0.16307699869*话题 0.161823706835*账号
0.214037772127*参加 0.209722635022*大奖 0.192401542588*现金 0.192040113162*围观 0.1917979371*世界杯
0.266595043042*德国 0.257170345703*世界杯 0.204978351289*葡萄牙 0.156474307473*NBA 0.114781952492*C罗
0.416282033086*世界杯 0.204152838101*熬夜 0.132556262645*巴西 0.127646849025*球迷 0.119362017144*德国
0.43609216706*高考 0.179312548416*替考 0.157269755295*河南 0.133705045408*考生 0.0936204838216*事件
0.308152223819*世界杯 0.20918816241*高考 0.177047585693*中国队 0.160886537924*结束 0.144725490154*游戏
0.222355254722*世界杯 0.213424832791*参与 0.207035479566*竞猜 0.18180493115*点击 0.175379501771*比赛
0.220018971527*关注 0.202621076371*球迷 0.193922007986*支持 0.192744623244*俱乐部 0.190693320872*国旗
0.33918500175*世界杯 0.192229559364*西班牙 0.167113741776*比赛 0.153214948845*竞猜 0.148256748264*智利
0.314503960155*世界杯 0.200237622316*免费 0.182849198514*小伙伴 0.160492877199*流量 0.141916341816*山东
0.280652818497*世界杯 0.274088212445*巴西 0.201454346616*玩转 0.123182311495*预测 0.120622310947*墨西哥
0.458324178686*高考 0.150664764468*作文 0.139410557371*老师 0.137441166015*考生 0.11415933346*志愿
0.22482137712*参与 0.220074426001*竞猜 0.205876099057*世界杯 0.195612182049*土豪 0.153615915773*下载
0.21905427225*世界杯 0.214436235588*天气 0.19907643705*巴西 0.184921189354*踢球 0.182511865758*加入
0.294499553814*世界杯 0.225440433909*巴西 0.184582754197*西班牙 0.157570861271*德国 0.13790639681*比赛
0.205154875553*好友 0.20093921764*选择 0.199769213461*点击 0.199320497573*下注 0.194816195772*竞猜
0.236694905234*世界杯 0.214152731131*巴西 0.202881484298*墨西哥 0.193276430117*精彩 0.15299444922*表现
