0.485848248882*高考 0.208101894785*考生 0.113374360426*志愿 0.100999245134*招生 0.091676250773*大学
0.230995559141*世界杯 0.225883279686*竞猜 0.214188085558*参与 0.179277971023*下注 0.149655104592*选择
0.222282342763*免费 0.221402270964*世界杯 0.205022382595*小伙伴 0.175849595331*巴西 0.175443408347*等待
0.202334222684*球迷 0.200466811732*国旗 0.199688723835*俱乐部 0.199611017561*支持 0.197899224188*佩戴
0.530112533892*高考 0.142060126679*老师 0.123808652061*作文 0.104148689255*考生 0.0998699981129*结束
0.207283556034*世界杯 0.203735648942*参加 0.201297638554*小伙伴 0.194452021423*现金 0.193231135048*围观
0.319903353732*世界杯 0.296781199957*西班牙 0.169126460935*冠军 0.111846042135*小组赛 0.102342943241*巴西
0.318417545774*高考 0.249315753199*中国 0.155854342124*世界杯 0.148397457239*专业 0.128014901663*高考状元
0.386596159233*小苹果 0.187143690622*观看 0.151128567737*爱奇艺 0.146683628069*兄弟 0.12844795434*筷子
0.441790881533*狗肉 0.243200812557*玉林 0.112796325307*动物 0.105752814747*不吃 0.0964591658574*人类
0.22880881776*世界杯 0.215416593753*西班牙 0.192650219114*卫冕冠军 0.185560118616*出局 0.177564250757*提前
0.333216382421*西班牙 0.283930876936*世界杯 0.19035266621*智利 0.111605004101*球队 0.0808950703329*小组赛
0.382244397159*世界杯 0.168022524236*球星 0.164561534056*球迷 0.142758842686*支持 0.142412701863*关注
0.270735285824*高考 0.257547425246*替考 0.230081573756*河南 0.141689778788*事件 0.0999459363856*杞县
0.204763717877*狗肉 0.200763117251*鸡鸭 0.198978398902*牛羊猪 0.198239682097*主人 0.197255083873*过导
0.473850644222*世界杯 0.151274062289*足球 0.145910328447*西班牙 0.140546594605*球迷 0.0884183704374*加油
0.311469530306*NBA 0.271635438466*世界杯 0.187166085744*黄奕 0.12223104342*西班牙 0.107497902064*老公
0.253981511874*世界杯 0.205490275655*荷兰 0.197108190777*玩转 0.190821411552*比赛 0.152598610143*智利
0.286646239259*西班牙 0.236777862928*世界杯 0.19460401113*巴西 0.15418352617*比赛 0.127788360513*乌拉圭
0.279209695786*德国 0.239182940696*世界杯 0.200493940134*巴西 0.14318055604*荷兰 0.137932867345*西班牙
