0.204655942549*世界杯 0.200521929575*小伙伴 0.198469484492*现金 0.198352178641*参加 0.198000464743*围观
0.354398360501*小苹果 0.216808960446*高考 0.158657729468*喜欢 0.145491014258*世界杯 0.124643935326*兄弟
0.399633989784*世界杯 0.171418963485*荷兰 0.146213782385*西班牙 0.145529584184*澳大利亚 0.137203680162*比赛
0.200431099064*关注 0.200357546617*国旗 0.199892168481*佩戴 0.1997452906*俱乐部 0.199573895238*支持
0.22808916493*中国 0.221683794369*排名 0.198562894047*山东 0.183096657094*流量 0.16856748956*高考状元
0.215896484673*狗肉 0.196814302484*主人 0.196104605987*保护 0.195789441344*鸡鸭 0.195395165513*生命
0.434463937912*高考 0.207211487483*作文 0.143524338724*老师 0.122316620129*考生 0.0924836157519*语文
0.221627715178*竞猜 0.21667448751*世界杯 0.203080410218*参与 0.182869923296*下注 0.175747463798*选择
0.215558515773*免费 0.213915822323*小伙伴 0.213517782881*世界杯 0.180519688473*巴西 0.17648819055*加入
0.269750186837*世界杯 0.209497373843*巴西 0.178908342941*荷兰 0.175639853326*西班牙 0.166204243053*德国
0.353700858876*世界杯 0.23921095749*英格兰 0.145527497949*乌拉圭 0.130894594801*比赛 0.130666090884*西班牙
0.412287095218*黄奕 0.252830358726*老公 0.130128907673*家暴 0.115649377414*娱乐 0.0891042609689*世界杯
0.474970101489*世界杯 0.156534142543*黄金 0.127310419342*投资 0.120592668313*白银 0.120592668313*现货
0.336287036645*世界杯 0.207900620986*竞猜 0.196252159146*参与 0.139782535553*手机 0.11977764767*金币
0.46991781918*世界杯 0.157369914641*德国 0.141646944018*足球 0.130572349407*巴西 0.100492972755*球迷
0.276251388938*世界杯 0.215565840325*巴西 0.179622195351*西班牙 0.167738372*比赛 0.160822203387*葡萄牙
0.378514229486*世界杯 0.220893900285*巴西 0.152840573218*足球 0.140748356018*球迷 0.107002940993*球队
0.248415616233*世界杯 0.222130752729*比赛 0.182938532005*进球 0.179770136131*德国 0.166744962901*德国队
0.330492988958*世界杯 0.30057292794*球迷 0.140281796323*朋友 0.116307463966*检测 0.112344822813*比赛
0.422095130858*狗肉 0.266682987055*玉林 0.107662107182*动物 0.102916772611*不吃 0.100643002294*人士
