0.25749618465*朋友 0.212792376002*比赛 0.188858325214*西班牙 0.171664451585*生命 0.169188662548*地方
0.464005738514*世界杯 0.145687710252*小苹果 0.139479982671*比赛 0.138291087548*球迷 0.112535481015*巴西
0.349905246091*狗肉 0.225131912015*狗 0.224589868707*玉林 0.104370883211*不吃 0.0960020899768*爱狗
0.227915162394*世界杯 0.214790212373*球迷 0.207218461041*朋友 0.194851121937*检测 0.155225042255*C罗
0.206481562702*竞猜 0.206036593215*世界杯 0.205568384155*下注 0.193181235639*参与 0.188732224289*选择
0.370891109188*世界杯 0.180705641*西班牙 0.156688298285*巴西 0.154390089774*比赛 0.137324861754*意大利
0.233642754606*免费 0.218746276448*世界杯 0.211699188053*小伙伴 0.168385694751*巴西 0.167526086142*加入
0.311979112817*黄奕 0.215104089501*老公 0.213980641303*世界杯 0.143853064914*娱乐 0.115083091465*家暴
0.2355680209*红包 0.215812016524*现金 0.185755117407*球迷 0.182321253149*俱乐部 0.18054359202*支持
0.218624425201*狗肉 0.199143807845*缉毒 0.196681825828*鸡鸭 0.19421984381*主人 0.191330097316*保护
0.237995786217*世界杯 0.215712988952*意大利 0.187209892521*英格兰 0.183758631916*哥斯达黎加 0.175322700395*西班牙
0.228527865689*参与 0.222490461063*世界杯 0.216138177751*竞猜 0.174296581798*土豪 0.158546913699*下载
0.425111849821*世界杯 0.212955295097*巴西 0.168262872543*足球 0.0986971755429*球迷 0.0949728069967*西班牙
0.244251279567*西班牙 0.202740246535*世界杯 0.199145378331*德国 0.185579793682*荷兰 0.168283301884*巴西
0.306815892594*狗肉 0.236074106085*玉林 0.198641446207*狗 0.139556513715*人士 0.118912041399*爱狗
0.372160584102*狗肉 0.205991885027*玉林 0.187941897672*狗 0.118162365438*世界杯 0.115743267761*中国
0.278644238751*世界杯 0.207285457093*小伙伴 0.192349073329*参加 0.164348959835*围观 0.157372270991*大奖
0.268386638347*世界杯 0.222247343105*球迷 0.177250057125*关注 0.171540010818*小苹果 0.160575950606*德国
0.370165357481*世界杯 0.199255598743*巴西 0.167611736557*德国 0.133852738396*冠军 0.129114568823*阿根廷
0.327085071337*高考 0.297339372089*作文 0.153567281366*老师 0.123579529328*语文 0.0984287458804*中考
