0.218520528885*世界杯 0.201034375991*小伙伴 0.200111235556*现金 0.195247069077*围观 0.185086790491*大奖
0.223053644648*世界杯 0.205488069969*免费 0.1968442319*小伙伴 0.192864997571*流量 0.181749055912*排名
0.21203932463*狗肉 0.199755579815*鸡鸭 0.199369849357*缉毒 0.196604205456*主人 0.192231040742*生命
0.217627041379*巴西 0.217526416054*西班牙 0.210098437487*世界杯 0.19092550143*意大利 0.16382260365*哥斯达黎加
0.390073955994*世界杯 0.179177359765*西班牙 0.171796718243*比赛 0.146199952562*巴西 0.112752013436*时间
0.439600029259*狗肉 0.226424948746*玉林 0.1421892977*不吃 0.109253989077*动物 0.0825317352187*人类
0.232003653898*世界杯 0.220155880009*竞猜 0.215926456092*参与 0.183019042537*下注 0.148894967464*选择
0.203081445782*世界杯 0.200362407551*等待 0.199177473406*巴西 0.199107639418*天气 0.198271033843*队伍
0.393208066778*狗肉 0.245316943792*玉林 0.122977009821*爱狗 0.120021798044*爱狗 0.118476181565*人士
0.209459893563*狗肉 0.207059634948*爱狗 0.202823884452*人士 0.202541501086*爱狗 0.17811508595*玉林
0.463230357006*世界杯 0.148161943895*巴西 0.146341879068*小苹果 0.121405822357*观看 0.120859997673*手机
0.357011707557*高考 0.277647026717*作文 0.181368883552*老师 0.0978407881451*语文 0.0861315940289*成绩
0.229170537801*关注 0.209839625059*球迷 0.193504776052*支持 0.186545533595*俱乐部 0.180939527493*选择
0.304010376229*世界杯 0.219070797213*德国 0.169140924219*巴西 0.164340148431*荷兰 0.143437753909*冠军
0.407858239254*世界杯 0.20904481442*球迷 0.135987060946*西班牙 0.131791844533*朋友 0.115318040846*梅西
0.403414541818*世界杯 0.16197993711*比赛 0.149504195271*球迷 0.142857316928*德国队 0.142244008874*德国
0.436364828419*高考 0.185875154421*成绩 0.136847892665*分数线 0.133932475051*考生 0.106979649444*文科
0.23859866168*世界杯 0.234390940523*阿根廷 0.215796644506*伊朗 0.197486578224*梅西 0.113727175066*比赛
0.31845821485*世界杯 0.191399048877*进球 0.17553772907*德国 0.157832921822*加纳 0.15677208538*克洛泽
0.305109575585*西班牙 0.217532093622*英格兰 0.195263692714*意大利 0.179144395895*世界杯 0.102950242184*世界
