0.455068049096*狗肉 0.2328736999*玉林 0.116089559289*人士 0.0987742203471*不吃 0.0971944713673*动物
0.352691132182*高考 0.171575205751*分数线 0.162501397223*成绩 0.158508691528*考生 0.154723573315*公布
0.367381289897*高考 0.223730445145*成绩 0.141799460066*四川 0.141490544111*人生 0.125598260782*答题
0.521879427804*世界杯 0.134138363089*加油 0.118525001387*足球 0.115212628764*希望 0.110244578955*喜欢
0.54763758968*世界杯 0.168947177465*巴西 0.101952760902*参加 0.0931089028348*足球 0.0883535691189*比赛
0.233121014899*状元 0.225682434408*复读 0.183120932284*文科 0.182347663588*辽宁 0.17572795482*高考
0.241226375805*参与 0.236138305069*竞猜 0.234027226832*世界杯 0.145449097621*选择 0.143158994673*好友
0.292111353783*世界杯 0.291675631037*西班牙 0.177816532835*比利亚 0.130638589171*再见 0.107757893174*比赛
0.279379294467*现金 0.218501481846*红包 0.177071610721*世界杯 0.163753454174*参加 0.161294158793*围观
0.437883669315*变形金刚 0.205726856754*电影 0.137298420972*中国 0.114538111966*北京 0.104552940993*观看
0.257234148585*世界杯 0.202113015593*巴西 0.19993122393*免费 0.1812127885*天气 0.159508823392*队伍
0.316175760582*高考 0.237956938848*文科 0.175663192549*中学 0.140689112706*状元 0.129514995315*成绩
0.209462790479*小伙伴 0.205266723116*世界杯 0.201898579358*免费 0.193163985323*超过 0.190207921724*流量
0.29855499151*世界杯 0.234324320225*巴西 0.167037345419*荷兰 0.151245712114*比赛 0.148837630732*智利
0.277505980444*世界杯 0.214018657647*巴西 0.213875299022*荷兰 0.155702758316*德国 0.138897304571*意大利
0.414317970663*世界杯 0.27421215741*球迷 0.117065805065*关注 0.107707800629*足球 0.086696266233*手机
0.376894103873*高考 0.221692977462*状元 0.144092213227*选择 0.138625003619*复读 0.11869570182*成绩
0.323382012716*高考 0.175419543411*老师 0.172839498925*人生 0.166390855313*中国 0.161968089634*作文
0.398865975823*高考 0.242641474498*成绩 0.127421981898*考生 0.11610135449*山东 0.114969213291*学院
0.273973107811*世界杯 0.229118226544*德国 0.188579000127*西班牙 0.165772487931*荷兰 0.142557177588*阿根廷
