0.261345073719*世界杯 0.230555959683*西班牙 0.191230290618*意大利 0.163359186606*巴西 0.153509489375*英格兰
0.230071219944*高考 0.229609694193*文科 0.209668489662*状元 0.171938284701*理科 0.1587123115*中学
0.316620068193*高考 0.238576870818*状元 0.206223751525*文科 0.119783480689*理科 0.118795828776*成绩
0.204475182464*世界杯 0.203798731156*参加 0.198719861606*小伙伴 0.196547091879*现金 0.196459132895*围观
0.427120328705*狗肉 0.241430429282*玉林 0.135718533886*人士 0.117022692169*动物 0.0787080159588*爱狗
0.504363112918*高考 0.146129104026*教育 0.140307024716*考生 0.117796442575*成绩 0.0914043157643*学生
0.299209357685*世界杯 0.231183878823*西班牙 0.21426979397*意大利 0.142182133239*巴西 0.113154836283*德国
0.432682659446*变形金刚 0.155891783657*电影 0.150380474991*重生 0.146794005853*绝迹 0.114251076053*首映
0.263079331827*世界杯 0.226515430767*德国 0.222151146761*巴西 0.152961950039*荷兰 0.135292140606*阿根廷
0.311495658399*高考 0.179833095654*理科 0.177745794908*小苹果 0.169235969011*分数线 0.161689482029*文科
0.376837791682*高考 0.195921372701*志愿 0.145812467955*填报 0.143044938146*专业 0.138383429516*成绩
0.22483612488*世界杯 0.222687577784*免费 0.205714877122*小伙伴 0.183156188696*巴西 0.163605231519*天气
0.314971159564*高考 0.206406143463*成绩 0.190107296158*考生 0.152029139197*公布 0.136486261618*分数线
0.243059263621*美女 0.237154158238*硕士 0.229552580966*毕业 0.149461004031*儿子 0.140772993144*人生
0.29278263638*作文 0.202042778856*老师 0.180551996577*德国 0.16595943459*中国 0.158663153597*考试
0.463875767566*高考 0.184736416174*成绩 0.123124836655*大学 0.119447831571*人生 0.108815148034*孩子
0.204428913398*俱乐部 0.201010624534*球迷 0.199227169474*支持 0.198038199435*现金 0.19729509316*红包
0.25539384323*状元 0.225307209152*复读 0.188601475158*高考 0.166165477787*辽宁 0.164531994674*丁宁
0.225883487239*世界杯 0.218485008933*竞猜 0.199533281539*参与 0.191167331793*下注 0.164930890496*选择
0.267993007966*世界杯 0.225519597157*参与 0.183046186347*球迷 0.172738902015*手机 0.150702306515*关注
