0.233757865506*德国 0.21837105753*小苹果 0.214330012222*世界杯 0.167392215039*葡萄牙 0.166148849704*美国
0.22456917096*球迷 0.209103381828*支持 0.201056149194*俱乐部 0.182824318636*选择 0.182446979383*现金
0.484967427198*高考 0.162826048831*大学 0.157982903022*结束 0.10988722496*专业 0.0843363959895*志愿
0.313230354117*世界杯 0.278055308489*德国 0.171273531404*喜欢 0.118929843029*足球 0.118510962962*巴西
0.263432619584*德国 0.240632938661*世界杯 0.229886430038*美国 0.138832929439*比赛 0.127215082278*葡萄牙
0.335470449764*德国 0.224492556814*世界杯 0.184666084128*中国 0.136187770889*美国 0.119183138405*巴西
0.412606721647*世界杯 0.183875755327*巴西 0.170236867472*球迷 0.118307365365*球队 0.11497329019*意大利
0.469280195287*高考 0.163197148494*成绩 0.152738460425*考生 0.118583565091*志愿 0.0962006307027*学校
0.41113059817*变形金刚 0.163123509661*电影 0.15826991503*重生 0.153785452606*绝迹 0.113690524534*上映
0.320597196638*世界杯 0.280335892213*巴西 0.180383171633*意大利 0.114526363662*观看 0.104157375854*英格兰
0.242790743725*参与 0.231618740605*竞猜 0.230450358003*世界杯 0.154668265344*美国 0.140471892323*选择
0.222127209429*免费 0.213590615516*世界杯 0.209151403365*小伙伴 0.178760579084*天气 0.176370192606*巴西
0.330887006191*狗肉 0.248262166325*高考 0.187065603625*玉林 0.118726612767*中国 0.115058611093*人士
0.236032465056*高考 0.205135363142*山东 0.187076802527*蓝翔 0.186371423363*新东方 0.185383945912*电脑
0.321980755496*高考 0.194123706377*文科 0.184541681807*理科 0.158046691432*状元 0.141307164888*成绩
0.44323806542*高考 0.189539911143*状元 0.138151519218*复读 0.11585301309*高考状元 0.113217491129*丁宁
0.352994779571*德国 0.336732534164*世界杯 0.121174582227*意大利 0.101723670639*美国 0.0873744334*手机
0.207591185297*参加 0.204321503755*世界杯 0.198959748578*小伙伴 0.196509353678*现金 0.192618208692*围观
0.250207537103*世界杯 0.220226252977*巴西 0.193824823671*德国 0.188902523292*阿根廷 0.146838862957*荷兰
0.272156583857*美女 0.244474634027*硕士 0.18504311554*毕业 0.168992885537*人生 0.129332781039*赢家
