0.302991545428*小伙伴 0.27856057685*世界杯 0.149715259865*围观 0.134401960223*现金 0.134330657634*参加
0.413282404452*世界杯 0.211331081716*德国 0.134892584522*观看 0.120246964655*葡萄牙 0.120246964655*球队
0.275431484589*小苹果 0.250845760637*世界杯 0.233208473642*德国 0.131124675873*德国队 0.10938960526*兄弟
0.317847294196*世界杯 0.209703035732*巴西 0.17906531068*德国 0.146897975983*小组赛 0.146486383409*美国
0.269066015618*状元 0.201309259392*丁宁 0.19345333735*高考 0.174468573341*辽宁 0.1617028143*文科
0.261189823515*世界杯 0.212229900351*巴西 0.186008455805*智利 0.178838508672*乌拉圭 0.161733311657*体验
0.230118617104*世界杯 0.21275396618*足球 0.212564217112*巴西 0.174796318955*手机 0.169766880649*世界
0.392377172877*变形金刚 0.164546205778*重生 0.159659462516*绝迹 0.147182470419*中国 0.13623468841*电影
0.222045511164*竞猜 0.21336781477*参与 0.202768847666*世界杯 0.187798151557*下注 0.174019674844*好友
0.316430396452*世界杯 0.198381929856*参加 0.194849648836*大奖 0.153031283339*活动 0.137306741516*小伙伴
0.204020179668*国旗 0.201970795596*佩戴 0.20127321504*站队 0.197523350675*红包 0.19521245902*现金
0.232327650843*免费 0.197294646504*世界杯 0.190786238018*天气 0.190050448583*加入 0.189541016052*巴西
0.220048115659*变形金刚 0.205281026498*地球 0.193351150175*携手 0.192841810104*安全 0.188477897565*安全卫士
0.445086523859*高考 0.151544737862*毕业 0.144144636614*成绩 0.141141435196*人生 0.11808266647*美女
0.246364175464*变形金刚 0.224803684954*电影 0.184021355812*分手 0.182684453283*大师 0.162126330487*小苹果
0.208157100282*现金 0.200202680096*红包 0.199943528065*围观 0.196715731495*参加 0.194980960062*福利
0.28739316716*支持 0.187161611543*球迷 0.178499759366*关注 0.178190359007*选择 0.168755102924*巴西
0.521962839224*高考 0.136424089376*考生 0.123010138742*志愿 0.121609721044*成绩 0.0969932116142*学校
0.31958136525*高考 0.181355790089*成绩 0.175596122383*理科 0.161934164784*理科状元 0.161532557495*记者
0.225155115295*巴西 0.216038640788*世界杯 0.188972776447*荷兰 0.187916916224*阿根廷 0.181916551247*冠军
