0.361029556357*邓紫棋 0.229667713921*春晚 0.151029876479*我是歌手 0.131370417118*歌曲 0.126902436124*音乐
0.306507711675*邓紫棋 0.272549795533*我是歌手 0.183763993954*灌醉 0.125398519062*唱 0.111779979776*喜欢
0.334823660954*邓紫棋 0.207943513369*我是歌手 0.171479172947*唱 0.165514504792*张杰 0.120239147937*韦唯
0.448019838568*春晚 0.161291837198*冯小刚 0.144087861485*中国 0.130468409671*导演 0.116132053078*北京
0.321884017612*春晚 0.183285479475*马 0.175838522836*节目单 0.172114644401*崔健 0.146877335676*演唱
0.421761761582*春晚 0.163238193579*央视春晚 0.154034247579*娱乐 0.144559559604*马 0.116406237656*节目
0.41868029557*春晚 0.216388122136*邓紫棋 0.124204853166*灌醉 0.120363364564*我是歌手 0.120363364564*爱情
0.240631251961*唱 0.226476684204*春晚 0.19650327352*我是歌手 0.174022701207*观众 0.162366089108*邓紫棋
0.241911877412*爱 0.226388997826*春晚 0.21992096045*邓紫棋 0.18499448138*泡沫 0.126783682931*阳光
0.490928996117*春晚 0.18280743297*卫视 0.129986627099*春节 0.0989152657194*晚会 0.0973616780937*观众
0.276821330392*崔健 0.242405782989*春晚 0.179859590375*一无所有 0.166542106488*经纪人 0.134371189756*花房
0.262674085246*邓紫棋 0.231087717333*我是歌手 0.231087717333*唱 0.152953080484*喜欢 0.122197399604*唱歌
0.43223693764*春晚 0.166382378258*直通 0.147515168479*唱 0.131220760034*宇 0.122644755589*华晨
0.33057975216*春晚 0.232988336506*华晨 0.178694777889*宇 0.139521133787*直通 0.118215999659*很棒
0.283750894435*唱 0.229956058483*春晚 0.176161815854*歌手 0.158229808321*节目 0.151901422908*首歌
0.256419327018*春晚 0.236269643862*马 0.180166303513*央视 0.171079009518*登上 0.156065716089*舞台
0.329099500607*邓紫棋 0.191750071879*我是歌手 0.18585713422*唱 0.154126002443*喜欢 0.13916729085*张杰
0.338465272336*邓紫棋 0.225351562743*我是歌手 0.160652215775*喜欢 0.153170165508*唱 0.122360783639*歌手
0.26828770632*春晚 0.21807628524*歌手 0.209468737092*喜欢 0.185079960457*舞台 0.11908731089*宇
0.281219018366*春晚 0.225975511211*宇 0.223536308777*华晨 0.17134173393*直通 0.0979274277152*花花
