0.3190257262*变形金刚 0.21210287885*广告 0.183397915109*中国 0.162971934907*植入 0.122501544934*重生
0.299058937413*巴西 0.255916016627*世界杯 0.19962620125*智利 0.145585572207*点球 0.0998132725025*比赛
0.28019340281*世界杯 0.212250287787*巴西 0.196101127716*比赛 0.185719160987*德国 0.1257360207*德国队
0.458791018091*高考 0.166666979346*考生 0.161536282402*志愿 0.116602348474*填报 0.0964033716866*大学
0.31071742967*世界杯 0.189556021399*荷兰 0.189144951164*预测 0.159265506853*彩票 0.151316090914*足彩
0.267058803022*免费 0.263945674433*世界杯 0.166205712493*小伙伴 0.152950855533*山东 0.149838954519*流量
0.408388748992*变形金刚 0.204342305346*电影 0.142450398897*分手 0.133805113464*大师 0.111013433302*擎天柱
0.227367061016*世界杯 0.226672615919*手机 0.203056310705*球迷 0.198888699775*德国 0.144015312585*巴西
0.429147884856*变形金刚 0.200424541042*电影 0.157166282508*中国 0.113806630602*重生 0.0994546609921*绝迹
0.360939059442*狗肉 0.179365980467*玉林 0.172267305725*明星 0.156333993978*沛县 0.131093660387*再见
0.200825021207*球迷 0.200533066279*支持 0.200313947918*俱乐部 0.19980287463*国旗 0.198525089965*现金
0.290114362645*高考 0.260673886797*德国 0.206277967823*世界杯 0.123026681423*中国 0.119907101312*巴西
0.222975732564*高考 0.195733539778*单词 0.194966991167*认证 0.193982517205*背单词 0.192341219285*百词
0.309382695243*巴西 0.286359309508*世界杯 0.142658914075*队伍 0.133449434941*踢球 0.128149646233*小伙伴
0.463099493791*德国 0.155967727033*法国 0.152283648158*世界杯 0.119460079067*美国 0.10918905195*巴西
0.203246701896*参加 0.201114533481*世界杯 0.199022005379*围观 0.198983966694*现金 0.19763279255*小伙伴
0.236656930413*世界杯 0.225689891756*参与 0.219701874049*竞猜 0.162945936807*选择 0.155005366976*好友
0.494400536077*世界杯 0.17243119263*巴西 0.124979605046*冠军 0.11595714609*足球 0.0922315201576*德国
0.224330821485*发挥 0.197001425643*综合 0.19377500103*数学 0.193205525805*外语 0.191687226036*总分
0.512833733251*高考 0.182724863003*成绩 0.140604900814*大学 0.0853838221588*考试 0.0784526807729*招生
