0.225830407175*世界杯 0.205205767251*法国 0.202578114297*德国 0.190332048515*巴西 0.176053662762*哥伦比亚
0.269883868637*古剑 0.265092369336*奇谭 0.26108522889*古剑 0.103058256196*主题曲 0.10088027694*电视剧
0.281212332052*古剑 0.277769596225*奇谭 0.270882179521*古剑 0.0948861340828*电视剧 0.0752497581193*李易峰
0.202946657972*小伙伴 0.202693649487*世界杯 0.202301664511*围观 0.201858008788*现金 0.190200019243*大奖
0.29359691202*德国 0.288858038783*世界杯 0.155223463238*美国 0.137742423886*巴西 0.124579162073*中国
0.204100818321*球迷 0.203593622111*俱乐部 0.201057848592*关注 0.195841240115*现金 0.195406470861*支持
0.253655727665*古剑 0.253330516351*奇谭 0.251056311362*古剑 0.138853177553*电视剧 0.103104267068*游戏
0.39792694671*世界杯 0.196408696171*比赛 0.13908887923*德国队 0.137845899488*加油 0.128729578401*德国
0.339591723187*世界杯 0.229304288294*球迷 0.19756690452*德国 0.121132375334*德国队 0.112404708666*比赛
0.402736466156*徐才厚 0.180386225339*军队 0.174496235926*德国 0.124871779673*形象 0.117509292907*人民日报
0.238887492614*竞猜 0.236367972037*参与 0.232709063654*世界杯 0.165372904611*德国 0.126662567084*法国
0.241490761475*巴西 0.216971760778*世界杯 0.184852301368*阿根廷 0.179300886051*荷兰 0.177384290328*德国
0.228794275017*世界杯 0.226844161073*免费 0.223399430214*小伙伴 0.163861042966*巴西 0.15710109073*加入
0.321769944298*德国 0.267451429983*世界杯 0.150087817833*韩国 0.134162874094*中国队 0.126527933791*国际足联
0.20644314372*足球 0.20447063453*世界杯 0.201371353498*世界 0.19423302474*技术 0.193481843513*巴西
0.235181803409*世界杯 0.19801329177*免费 0.193325356725*流量 0.18886053078*手机 0.184619017315*激情
0.200453003173*巴西 0.20023497062*世界杯 0.19990882275*奖金 0.199865576624*赌球 0.199537626833*机会
0.378703406355*变形金刚 0.186585731887*中国 0.178401160289*电影 0.140886966268*广告 0.115422735201*重生
0.255351640232*世界杯 0.207166411977*比赛 0.190900007557*选择 0.177165635312*竞猜 0.169416304923*参与
0.280878459967*状元 0.275125394761*高考 0.162437302619*高考状元 0.145178687535*世界杯 0.136380155118*成绩
