0.345597949971*世界杯 0.246666172317*德国 0.203200032513*法国 0.113334455126*中国队 0.0912013900723*足球
0.394406527993*徐才厚 0.188077651713*状元 0.155730483247*高考 0.150416533132*中国 0.111368803916*主席
0.211657739524*围观 0.207881750333*现金 0.206998790948*世界杯 0.19604875675*小伙伴 0.177412962446*大奖
0.260429183908*世界杯 0.214159187135*超过 0.178508393832*小伙伴 0.177749917438*山东 0.169153317687*排名
0.392647485911*变形金刚 0.173015927402*电影 0.165580855792*中国 0.134920770885*重生 0.13383496001*绝迹
0.223475576889*球迷 0.20696463145*俱乐部 0.202385882336*支持 0.186529526965*国旗 0.18064438236*现金
0.329853569095*德国 0.257919486214*世界杯 0.200149159712*法国 0.123556477823*比赛 0.0885213071554*德国队
0.260659643816*活动 0.209409448029*世界杯 0.185585799746*参与 0.174975342632*转发 0.169369765777*给力
0.263011326385*世界杯 0.198972252524*德国 0.195019359884*竞猜 0.172091568238*参与 0.170905492969*冠军
0.205142949219*世界杯 0.202072531775*德国 0.201592779049*哥伦比亚 0.196699301248*法国 0.19449243871*巴西
0.270591607392*世界杯 0.231715915118*巴西 0.214073119867*德国 0.143912443292*阿根廷 0.139706914331*荷兰
0.247379314787*手机 0.206212561951*活动 0.199101747936*世界杯 0.182260914372*激情 0.165045460955*开启
0.468396268073*德国 0.180526554606*世界杯 0.133052183437*中国 0.112489734764*状元 0.10553525912*韩国
0.283153005028*古剑 0.282717287188*奇谭 0.281876469517*古剑 0.0950112191456*电视剧 0.0572420191212*师兄
0.223487373122*竞猜 0.221956664504*好友 0.206367708703*参与 0.201572010347*世界杯 0.146616243324*法国
0.209396173947*世界杯 0.20362462516*免费 0.201546789775*小伙伴 0.196698723381*巴西 0.188733687738*天气
0.292220079984*世界杯 0.217106550041*巴西 0.186349743253*德国 0.154283066654*法国 0.150040560068*决赛
0.219087644063*世界杯 0.207546978977*比赛 0.201318895865*德国 0.186664352356*加油 0.185382128739*德国队
0.475299505436*变形金刚 0.193987461503*电影 0.110953500094*重生 0.110953500094*地球 0.108806032873*发现
0.207939611165*告诉 0.207442093498*中大奖 0.202733193888*福利 0.196799770161*中奖 0.185085331287*小伙伴
