0.355470245524*变形金刚 0.187058373113*大师 0.185230562634*分手 0.137460832633*重生 0.134779986097*绝迹
0.273699962509*高考 0.26402857632*状元 0.211428181358*高考状元 0.132601184245*教育 0.118242095568*成绩
0.326018043434*变形金刚 0.232043114094*世界杯 0.193748611348*中国 0.138688234048*电影 0.109501997075*喜欢
0.344783231652*世界杯 0.189202726577*决赛 0.178159725003*巴西 0.172515700876*德国 0.115338615892*冠军
0.244461586421*世界杯 0.228876658781*巴西 0.186908640274*阿根廷 0.174774582158*荷兰 0.164978532367*德国
0.289773718715*奇谭 0.289096238361*古剑 0.2876928862*古剑 0.0741263136501*电视剧 0.0593108430731*李易峰
0.442836337786*变形金刚 0.153715987265*电影 0.141452454781*中国 0.13246710408*绝迹 0.129528116088*重生
0.36970791209*德国 0.238888591784*世界杯 0.160053106893*阿根廷 0.12328082711*巴西 0.108069562124*决赛
0.20789550962*竞猜 0.205960111246*世界杯 0.199969225581*参与 0.196405512627*点击 0.189769640925*选择
0.275223497887*世界杯 0.265532240617*冠军 0.161623903802*阿根廷 0.152686553496*竞猜 0.144933804198*土豪
0.219231666845*高清 0.209629449832*巴西 0.207871156987*世界杯 0.18460921996*加入 0.178658506376*天气
0.45325165572*世界杯 0.234226233604*巴西 0.121919785503*德国 0.0957120062691*比赛 0.0948903189037*决赛
0.328590012324*中国 0.209340931354*凤凰 0.180417540053*变形金刚 0.151494148751*历史 0.130157367517*状元
0.260957521303*小伙伴 0.256412686508*世界杯 0.176825090417*围观 0.174228934314*现金 0.131575767458*大奖
0.225992972621*德国队 0.215263225156*球迷 0.196636220436*支持 0.182952504168*选择 0.179155077619*俱乐部
0.254208701239*世界杯 0.215099445133*决赛 0.1832684171*半决赛 0.178784160293*冠军 0.168639276236*阿根廷
0.203966835962*英格 0.202659536499*阿根 0.201729420646*西班 0.19650076356*思路 0.195143443332*意大
0.328962395031*世界杯 0.225371429817*巴西 0.186317264161*德国 0.137199128901*体验 0.122149782089*足彩
0.361001788037*世界杯 0.215977941454*球迷 0.194312471281*巴西 0.124983393321*德国 0.103724405907*手机
0.271975511649*彩票 0.197839432312*世界杯 0.196356669642*发现 0.168608705744*足彩 0.165219680653*预测
