0.346573253539*世界杯 0.273878371121*小伙伴 0.164413338704*免费 0.108201461618*流量 0.106933575018*超过
0.203896990523*榜单 0.202694339494*选择 0.199470705896*下注 0.197257563583*竞猜 0.196680400504*好友
0.281499429409*奇谭 0.281199061197*古剑 0.279997588348*古剑 0.0857420651098*电视剧 0.071561855936*李易峰
0.234404954734*世界杯 0.207640820725*巴西 0.191021167336*免费 0.189294281476*天气 0.177638775729*小伙伴
0.284424441375*变形金刚 0.214928932277*中国 0.199485145947*世界杯 0.152511442901*徐才厚 0.148650037501*地球
0.270938349868*世界杯 0.26592562355*荷兰 0.243020467976*阿根廷 0.129683119866*比赛 0.0904324387406*德国
0.246467991417*世界杯 0.233271177436*巴西 0.188847653948*克洛泽 0.181041056435*德国 0.150372120764*进球
0.207570975209*世界杯 0.207063094323*巴西 0.202870929831*德国 0.191819224179*球迷 0.190675776458*关注
0.271538727512*活动 0.198821014996*中奖率 0.198638033927*世界杯 0.165685214905*小伙伴 0.16531700866*围观
0.200854072504*围观 0.200668332739*大奖 0.199554366171*领 0.199480259073*红包 0.199442969514*中大奖
0.398253914072*变形金刚 0.166687828511*电影 0.153534993117*大师 0.15302926701*分手 0.12849399729*重生
0.299580421343*世界杯 0.222860038587*阿根廷 0.181628773474*荷兰 0.161274280589*参与 0.134656486007*决赛
0.282151531827*世界杯 0.201983033135*现金 0.196883906549*小伙伴 0.165156379204*围观 0.153825149284*福利
0.252034752508*世界杯 0.245542543927*德国 0.188226824798*半决赛 0.158236533184*巴西 0.155959345584*决赛
0.468735157237*变形金刚 0.163193468068*电影 0.129002176529*擎天柱 0.119602722042*中国 0.119466476124*重生
0.326780707279*世界杯 0.216031201387*巴西 0.155187577157*球迷 0.154504012451*比赛 0.147496501726*德国
0.261182068119*徐才厚 0.216738776522*老家 0.190765037569*徐家 0.169120216334*公路 0.162193901456*直达
0.299581233107*巴西 0.275118448895*世界杯 0.214706170039*德国 0.112671234564*足球 0.097922913396*球迷
0.271414391425*世界杯 0.193755990747*领 0.189049446828*告诉 0.173831351683*现金 0.171948819317*大奖
0.384653744505*世界杯 0.200264611565*巴西 0.148677914414*德国 0.141535184588*比赛 0.124868544928*球队
