0.326365610191*世界杯 0.200721633848*德国 0.19459391514*阿根廷 0.14757778622*冠军 0.130741054602*梅西
0.344230844675*世界杯 0.198278680391*德国 0.178495851125*阿根廷 0.139912507087*巴西 0.139082116722*荷兰
0.295320349547*世界杯 0.223683864735*荷兰 0.165448670173*巴西 0.165205316155*德国 0.15034179939*影响
0.369859849526*世界杯 0.19356548154*德国 0.16077866326*巴西 0.142368966362*阿根廷 0.133427039312*荷兰
0.312047755336*世界杯 0.200936927653*梅西 0.172017077099*德国 0.161605777848*阿根廷 0.153392462065*荷兰
0.258941774174*古剑 0.252358359378*奇谭 0.217467472567*世界杯 0.144832922581*喜欢 0.1263994713*爱奇艺
0.311632749149*世界杯 0.245792131822*德国 0.169040279002*阿根廷 0.141545190345*巴西 0.13198964968*冠军
0.32664612634*奇谭 0.321875372715*古剑 0.117484887283*视网 0.117430520257*提醒 0.116563093405*追剧
0.296452419188*世界杯 0.204995767917*荷兰 0.18393243327*德国 0.17618056782*阿根廷 0.138438811804*巴西
0.284204468283*荷兰 0.194931264556*巴西 0.189715197765*世界杯 0.165908907791*德国 0.165240161604*西班牙
0.282182452996*世界杯 0.210546600045*德国 0.192331116078*阿根廷 0.16424301768*决赛 0.150696813201*马拉卡
0.227022938622*巴西队 0.205785460843*告诉 0.193824126544*高考 0.193091653074*哥伦比亚 0.180275820917*德国队
0.431927269197*变形金刚 0.180643667115*电影 0.149441120968*重生 0.147023419148*绝迹 0.090964523573*大师
0.206415140151*小伙伴 0.206288819112*世界杯 0.198993368966*围观 0.197452908501*现金 0.190849763271*大奖
0.253098873069*德国 0.249280285797*阿根廷 0.237471379241*世界杯 0.131778551771*决赛 0.128370910121*荷兰
0.229491437852*状元 0.213554833815*巡视 0.19224966664*北京 0.190739771051*高考 0.173964290642*男子
0.318806889084*世界杯 0.228015176567*荷兰 0.178161564398*阿根廷 0.142072736278*比赛 0.132943633672*决赛
0.255685059965*荷兰 0.221329668302*世界杯 0.193921357591*德国 0.168141012993*巴西 0.160922901149*阿根廷
0.33410002374*世界杯 0.233572848576*巴西 0.174100821117*德国 0.142158609229*荷兰 0.116067697337*阿根廷
0.406784776903*世界杯 0.159334746618*德国 0.156496062992*巴西 0.152883605895*荷兰 0.124500807591*足球
