0.3630689871*时代 0.196576544818*电视剧 0.180238782132*顾里 0.132521565214*南湘 0.127594120736*林萧
0.23627932357*古剑 0.235998218289*奇谭 0.177981808768*发现 0.175314822413*消息 0.174425826961*追剧
0.20679358795*红包 0.20086592534*现金 0.199798724889*世界杯 0.199028276204*大奖 0.193513485617*小伙伴
0.428127668471*世界杯 0.151105156333*结束 0.150630065288*时间 0.148017064541*德国 0.122120045367*时代
0.200894692796*全世界 0.200496809679*夏天 0.199900589689*明星 0.199403538136*时代 0.1993043697*红包
0.342586967014*世界杯 0.213119108456*德国 0.168571981502*巴西 0.141717027015*荷兰 0.134004916013*阿根廷
0.320310986439*世界杯 0.213281232522*荷兰 0.177083576296*巴西 0.150000547411*国家 0.139323657332*中国
0.306552078542*世界杯 0.20577343189*德国 0.184644158936*巴西 0.154862784212*阿根廷 0.14816754642*决赛
0.403108129647*时代 0.233651783918*刺金 0.160686226606*电影 0.115630841194*观看 0.086923018635*爱奇艺
0.261644474187*中央 0.247898708529*巡视组 0.239808211474*巡视 0.135653360392*问题 0.114995245418*反馈
0.304954673444*变形金刚 0.271588920373*中国 0.168793262769*荷兰 0.128558454074*世界杯 0.12610468934*广告
0.396172634186*世界杯 0.192003494827*巴西 0.167892640064*德国 0.123265334639*梅西 0.120665896284*阿根廷
0.447840859268*世界杯 0.160684409629*德国 0.132411912842*球迷 0.132145845476*巴西 0.126916972786*足球
0.206844517736*围观 0.202684611361*小伙伴 0.201491253735*世界杯 0.201415006516*现金 0.187564610652*大奖
0.239577308259*中国 0.220844135763*金砖 0.205277051674*国家 0.182585934457*巴西 0.151715569847*世界杯
0.283917038284*变形金刚 0.189972195706*男孩 0.189191585017*大师 0.187717024656*分手 0.149202156338*猛龙过江
0.338103409638*古剑 0.336824742779*奇谭 0.129824063847*电视剧 0.115129571206*李易峰 0.0801182125299*观看
0.437875917097*时代 0.188180313356*电影 0.126512266522*杨幂 0.126360850041*上映 0.121070652985*郭敬明
0.361898830381*世界杯 0.200139978078*小伙伴 0.172975906196*巴西 0.151244772019*免费 0.113740513325*价值
0.217429844167*世界杯 0.201746430656*德国队 0.197825577279*巴西队 0.196043676553*告诉 0.186954471345*中国队
