0.450131132443*世界杯 0.162433865571*德国 0.154365119363*巴西 0.123016263585*阿根廷 0.110053619038*梅西
0.341877906247*世界杯 0.237079333063*德国 0.198626018372*巴西 0.122334207093*中国 0.100082535225*决赛
0.234029204932*巡视 0.227597014597*中央 0.183099946565*上海 0.179223013894*浙江 0.176050820012*四川
0.324308808042*奇谭 0.322528499702*古剑 0.147822250578*电视剧 0.135831618813*李易峰 0.0695088228644*苏苏
0.482908029205*世界杯 0.182890205545*巴西 0.153308234036*小伙伴 0.103738654215*免费 0.0771548769991*足球
0.214104346058*中国 0.199536852307*福塔莱萨 0.196996893463*俄罗斯 0.195203934063*南非 0.194157974109*初始
0.282351962518*世界杯 0.222761674499*德国队 0.170588738153*告诉 0.166496525165*德国 0.157801099665*中国队
0.271184184944*金砖 0.191418003722*总部 0.180934117821*银行 0.179528782562*五国 0.17693491095*国家开发银行
0.309727206796*金砖 0.190808362131*中国 0.188483630189*国家 0.167561042706*上海 0.143419758179*南非
0.431982597374*世界杯 0.234417406294*德国 0.132890435891*关注 0.103098868554*足球 0.0976106918873*中国
0.355881976426*世界杯 0.202508602227*德国 0.154777308389*德国队 0.148727801459*巴西 0.138104311499*冠军
0.222887801917*古剑 0.222344152653*奇谭 0.189762139804*发现 0.183559500523*追剧 0.181446405104*消息
0.292490116116*金砖 0.200307156153*中国 0.195506167874*国家 0.186671926033*银行 0.125024633824*开发
0.260029156169*上海 0.204159538866*设在 0.199606245036*总部 0.179670173463*银行 0.156534886466*成立
0.378163898097*时代 0.174563185034*电影 0.165326776823*变形金刚 0.148980309897*刺金 0.132965830149*分手
0.226908192559*北京 0.201281423972*上海 0.197010124789*国家 0.197010124789*时间 0.177790133891*巴西
0.213680656054*现金 0.213680656054*围观 0.213489628558*小伙伴 0.213111432706*世界杯 0.146037626628*大奖
0.250800793068*世界杯 0.19625695446*现货 0.188235330592*中国 0.182888270313*黄金 0.181818651567*白银
0.401438890044*变形金刚 0.248621908127*时代 0.144977135731*电影 0.117423612555*中国 0.087538453544*广告
0.427619506595*世界杯 0.214982027583*中国 0.137339959543*状元 0.111589829853*结束 0.108468676426*关注
