0.206749913158*韩国 0.202716785198*力量 0.198047424904*樱桃 0.197623270015*嘴唇 0.194862606724*爱丽
0.212660347171*梦想 0.208440344041*青春 0.194128588495*承包 0.193394479092*关注 0.191376241202*孩子
0.436444875245*世界杯 0.192246865714*德国 0.13069708912*变形金刚 0.12590117379*最高 0.114709996131*小伙伴
0.253881605331*马航 0.204238968226*客机 0.194831633961*乌克兰 0.174203879905*马来西亚 0.172843912576*乘客
0.489832400234*时代 0.152164830311*电影 0.131829257738*时间 0.121256535675*吴亦凡 0.104916976042*郭敬明
0.32665770473*世界杯 0.239176327334*德国 0.156729305779*阿根廷 0.149681487444*巴西 0.127755174714*冠军
0.435936858841*时代 0.223126462594*电影 0.126222226801*喜欢 0.109936027855*期待 0.104778423909*感觉
0.28293167734*奇谭 0.280368351441*古剑 0.278945479201*古剑 0.0858252820683*电视剧 0.0719292099502*李易峰
0.262112572261*巡视 0.259060132713*中央 0.171309330949*上海 0.154140497699*巡视组 0.153377466378*浙江
0.214315552237*古剑 0.212917524417*古剑 0.210680767023*奇谭 0.181881916633*发现 0.18020423969*结婚
0.214285580568*巡视 0.209929330276*中央 0.194476529227*省区市 0.192174849066*陕西 0.189133710863*黑龙江
0.242195921488*告诉 0.214539179258*高考 0.192809320768*状元 0.177005731451*世界杯 0.173449847034*高考状元
0.215730310545*世界杯 0.20892887461*现金 0.198174829272*围观 0.191315170928*小伙伴 0.185850814646*最高
0.26982169339*金砖 0.210160737572*中国 0.18419449171*银行 0.177941840473*国家 0.157881236855*巴西
0.23640180384*世界杯 0.194749107218*小伙伴 0.192976681468*德国 0.189542470747*最高 0.186329936727*围观
0.458519890383*世界杯 0.184576782739*德国 0.174937703499*巴西 0.0988807344236*球迷 0.0830848889557*足球
0.287905357989*奇谭 0.2872803329*古剑 0.282917861032*古剑 0.0852872142733*电视剧 0.0566092338056*苏苏
0.306059970958*变形金刚 0.302633272953*时代 0.180338528022*电影 0.116514219275*时间 0.0944540087925*广告
0.293142836923*时代 0.262824723194*变形金刚 0.156109101264*分手 0.153799958549*电影 0.13412338007*大师
0.205231800072*现金 0.203643607389*围观 0.20318362912*最高 0.194096341905*世界杯 0.193844621514*比比
