0.239322217781*马航 0.198937066664*吉隆坡 0.193291476981*MH17 0.1908335626*乌克兰 0.177615675974*阿姆斯特丹
0.206652165354*马航 0.20398323024*客机 0.203726528669*击落 0.193563345553*节目 0.192074730183*记录
0.279845902475*时代 0.276221312827*变形金刚 0.159253496425*京城 0.150357212454*电影 0.13432207582*重生
0.320506608135*马航 0.187726331243*击落 0.179084315106*MH17 0.168982851128*客机 0.143699894388*乌克兰
0.224709653041*围观 0.220323101011*现金 0.190480144233*小伙伴 0.186630950122*狂欢 0.177856151594*天台
0.419950831765*马航 0.175935356928*生命 0.149309708139*世界 0.134985480637*时代 0.119818622531*击落
0.461967245059*世界杯 0.149841417926*德国 0.144864330273*围观 0.142054376751*现金 0.101272629991*夺冠
0.279616936694*奇谭 0.276394120706*古剑 0.150416223027*发现 0.146942767478*追剧 0.146629952094*结婚
0.354747455432*马航 0.208628410724*MH17 0.148123716913*飞机 0.146787881685*MH370 0.141712535246*遇难
0.257533555579*金砖 0.241210317991*中国 0.196760317606*国家 0.157082243244*银行 0.14741356558*巴西
0.307526487047*马航 0.218152993547*击落 0.206641530149*客机 0.145414398117*乌克兰 0.12226459114*坠毁
0.237448241447*马航 0.21462662893*客机 0.20463736105*乌克兰 0.172035109835*坠毁 0.171252658739*击落
0.314398480474*马航 0.20223101705*客机 0.17956115684*乌克兰 0.164601828194*击落 0.139207517443*事件
0.482073917605*时代 0.175182370691*电影 0.130742816597*时间 0.114033033616*刺金 0.0979678614914*吴亦凡
0.304549519459*马航 0.195124247191*击落 0.19456591533*客机 0.159021377676*黄金 0.146738940344*避险
0.233086939925*马航 0.209681584805*乌克兰 0.204591833346*客机 0.19976229333*坠毁 0.152877348594*俄罗斯
0.336713290028*时代 0.210235128311*变形金刚 0.200245842073*电影 0.128016347829*奇谭 0.124789391758*古剑
0.424715805374*马航 0.181901047903*击落 0.138160709813*客机 0.132202417077*事件 0.123020019832*生命
0.261571581304*发现 0.227964111858*消息 0.224159437834*马航 0.149017852515*世界杯 0.137287016489*现场
0.295970151695*马航 0.226632932645*MH17 0.167774619924*客机 0.162145943399*乘客 0.147476352337*坠毁
