0.384950357508*春晚 0.181818940973*2014 0.160496149833*回家 0.149273292084*我是歌手 0.123461259601*湖南卫视
0.248883576234*时代 0.211110089447*主持人 0.204443729279*传奇 0.168892362548*偶像 0.166670242492*歌者
0.228628887122*我是歌手 0.196704687409*位唱 0.194644977744*首场 0.190525558415*舞台 0.18949588931*将技
0.206349005963*巅峰 0.204481575103*开篇 0.202614144243*2014 0.197946052645*春晚 0.188609222046*期待
0.437561251321*我是歌手 0.147881945298*节目 0.144245939105*回归 0.13576143317*综艺 0.134549431106*咖秀
0.234011131331*周笔畅 0.223127525749*我是歌手 0.200000090742*邓紫棋 0.183674682369*曹格 0.159186569809*张宇
0.271101600472*春晚 0.189061189323*梦想 0.183116445275*梦 0.179549398167*机会 0.177171366763*现场
0.354890239176*春晚 0.247279367907*直通 0.169433967299*白举纲 0.150545167716*陪 0.0778512579029*加油
0.290358548971*我是歌手 0.213540942743*节目 0.197916866646*咖秀 0.164064701767*百变 0.134118939873*综艺
0.449793381879*我是歌手 0.176621628899*歌手 0.152480700796*节目 0.116904940566*音乐 0.104199347861*明晚
0.277305320536*卫视 0.215685193567*我是歌手 0.17927310253*春晚 0.170870423887*节目 0.15686595948*江苏
0.256195371101*直通 0.255162334986*春晚 0.213842270044*诈骗 0.13843304805*网站 0.136366975819*蜀黍
0.32393692302*我是歌手 0.190682954905*周笔畅 0.174432620329*鄧紫棋 0.172265967366*歌手 0.138681534379*曹格
0.268238055007*春晚 0.205127656353*2014 0.199211006317*我是歌手 0.169628291197*节目 0.157794991126*中国
0.231828096878*春晚 0.22379460942*主持 0.194720752811*主持人 0.179036250455*阵容 0.170620290435*谢娜
0.49734266409*春晚 0.169313090082*2014 0.127868729588*全国 0.111996650439*春节 0.0934788658013*希望
0.476315365831*春晚 0.163361414289*央视 0.140462555547*2014 0.117563285081*小品 0.102297379253*观众
0.220852445005*我是歌手 0.206528718498*罗琦 0.194870164137*韦唯 0.192871554818*韩磊 0.184877117542*曹格
0.47062837283*春晚 0.136124040814*冯小刚 0.136124040814*2014 0.134344494448*主持人 0.122779051094*导演
0.212033420461*家人 0.206303296201*2014 0.194842728651*城市 0.193410277344*参与 0.193410277344*心愿
