0.473991190278*春晚 0.177681687893*节目单 0.128387502062*马 0.12026209915*期待 0.0996775206166*联排
0.346684953258*红包 0.332394674595*飞 0.126590084427*头条 0.117475586432*博客 0.0768547012876*中国
0.363903722324*春晚 0.198284560806*飞 0.191026118352*红包 0.158364090602*中国 0.0884215079161*晚会
0.481386357628*春晚 0.161044153507*冯小刚 0.138783766177*央视 0.109566796974*节目 0.109218925715*李敏镐
0.495504539249*春晚 0.155195478375*节目 0.137239361254*录制 0.111160434253*晚会 0.100900186868*春节
0.494684451018*春晚 0.201180377972*崔健 0.110272549329*一无所有 0.102952412765*中国 0.0909102089167*摇滚
0.207524812576*歌曲 0.207128448867*春晚 0.201584207539*创意 0.192277282747*群发 0.191485248271*演唱
0.495402947444*春晚 0.144169593293*飞 0.121889965043*红包 0.121234732977*舞台 0.117302761244*时间
0.348985504322*春晚 0.201985297884*央视 0.158458295629*舞台 0.147003698812*马 0.143567203354*节目单
0.521013867778*春晚 0.134391396095*直通 0.124743058598*中国 0.119574176262*华晨 0.100277501268*红包
0.240311311722*庾澄庆 0.232961838326*春晚 0.21247189167*李敏镐 0.174610586787*情非得已 0.139644371495*央视春晚
0.269343060076*李敏镐 0.225234126709*春晚 0.182151426307*情非得已 0.175263907165*庾澄庆 0.148007479742*继承者
0.207006433418*联排 0.204971759303*节目单 0.200194540802*马 0.194179125765*带机 0.193648140712*央视
0.265177409106*马 0.252381414605*春晚 0.180506649098*短信 0.164988300313*央视 0.136946226877*冯小刚
0.443158217289*红包 0.266873446597*飞 0.126555105376*过年 0.095694051956*春晚 0.0677191787818*关注
0.335590869949*我是歌手 0.323129312562*邓紫棋 0.133363155481*喜欢 0.111500911439*歌手 0.0964157505676*张杰
0.234609394666*节目单 0.203829221334*梁家辉 0.199951660152*大鹏 0.1837132057*郭采洁 0.177896518148*李敏镐
0.248775632857*春晚 0.214511866205*节目单 0.195796233766*张国立 0.175065045308*快板 0.165851221864*观众
0.335129871509*春晚 0.268103610129*冯小刚 0.143041242293*挨骂 0.138418701911*马 0.115306574158*时尚
0.301652348575*春晚 0.223749592337*观看 0.168161316705*直通 0.16636828709*综艺 0.140068455293*爱奇艺
