0.264600958954*中国 0.230497154791*金砖 0.214817407674*变形金刚 0.186201877824*国家 0.103882600757*银行
0.418318199701*时代 0.17957055761*后会无期 0.16497809876*电影 0.119985141596*喜欢 0.117148002333*顾里
0.353215791144*后会无期 0.199681660272*影城 0.197295445396*韩寒 0.126494450384*见面会 0.123312652804*时代
0.337559683805*后会无期 0.182195279827*平凡 0.180487958041*路 0.171951349112*电影 0.127805729216*朴树
0.206143934393*所有人 0.202047015222*寄给 0.200682676727*电影票 0.198293620478*体验 0.19283275318*后会无期
0.27216522637*古剑 0.255085120776*古剑 0.244912081708*奇谭 0.145713188507*李易峰 0.0821243826391*苏苏
0.263704919269*巡视 0.248906086263*巡视组 0.240497606474*中央 0.131854516615*中心 0.115036871378*工作
0.362806462747*后会无期 0.209917201277*时代 0.183471257215*韩寒 0.122729009815*电影 0.121076068946*郭敬明
0.288275051663*奇谭 0.283413243945*古剑 0.277185759901*古剑 0.093257281685*电视剧 0.0578686628066*李易峰
0.324091701598*后会无期 0.271837968186*韩寒 0.204626898582*电影 0.114879079732*时代 0.0845643519014*郭敬明
0.234882046959*后会无期 0.202605529856*冯绍峰 0.194050053509*韩寒 0.188800488428*陈柏霖 0.179661881247*王
0.356727802781*时代 0.222062272808*变形金刚 0.18481426856*后会无期 0.149715237365*电影 0.0866804184851*京城
0.304058524814*变形金刚 0.228319823853*时代 0.189352753062*电影 0.148739101806*后会无期 0.129529796466*喜欢
0.247950403749*朋友 0.230407662218*影响 0.217542579154*大旱 0.154388709643*用水 0.149710645235*节约用水
0.260971975277*时代 0.236772838879*京城 0.172479552959*刺金 0.166073998815*变形金刚 0.16370163407*大师
0.342162686386*变形金刚 0.172974323685*绝迹 0.17186129513*时代 0.168076819769*重生 0.144924875029*京城
0.421369955912*时代 0.177952560387*陈学冬 0.141020284002*电视剧 0.139901021814*电影 0.119756177885*杨幂
0.349240251914*后会无期 0.247732755015*时代 0.178852693043*电影 0.12507759824*韩寒 0.0990967017881*期待
0.283829536069*古剑 0.279564948933*奇谭 0.278012201822*古剑 0.0829801177901*电视剧 0.0756131953859*李易峰
0.337965053633*后会无期 0.236315690644*电影 0.218360510344*韩寒 0.122792866163*上映 0.0845658792165*时代
