0.26626365853*巡视组 0.253715540657*中央 0.242563435168*巡视 0.119425775095*卡马乔 0.118031590549*合同
0.339336494547*小 0.335208233631*小 0.175300593093*时代 0.0837108653425*金砖 0.066443813386*闲妻
0.360552666701*后会无期 0.191063080711*韩寒 0.154083887615*小 0.151772539054*时代 0.142527825919*小
0.268720193848*时代 0.259216543265*小 0.250286494496*小 0.123272913125*京城 0.098503855266*刺金
0.288786261618*金砖 0.207707636999*中国 0.206206158665*国家 0.149650956915*俄罗斯 0.147648985803*巴西
0.36192831773*后会无期 0.221514083483*韩寒 0.142091971587*电影 0.1414215944*小 0.1330440328*小
0.271311367594*微信 0.19742779422*小 0.197128492931*时代 0.189650423971*小 0.144481921283*后会无期
0.277665456364*古剑 0.268902584865*古剑 0.251126002823*奇谭 0.104658183453*小 0.0976477724952*小
0.33365960118*后会无期 0.223973387638*电影 0.152381682287*路 0.147784006306*时代 0.142201322589*韩寒
0.258965672855*小 0.253798477491*小 0.242856607494*时代 0.129180513929*电影 0.11519872823*后会无期
0.311539694268*后会无期 0.269046165628*韩寒 0.195373589513*电影 0.121197923293*冯绍峰 0.102842627299*处女作
0.218223623739*小 0.217062727356*小 0.198491196101*奇谭 0.191526620908*古剑 0.174695831896*古剑
0.250904150505*小 0.243063576268*小 0.241455137463*时代 0.159630395526*后会无期 0.104946740237*电影
0.297219648013*时代 0.276252458685*小 0.273422262217*小 0.0798811988268*顾里 0.0732244322579*宛如
0.349039732206*大旱 0.253501612197*河南 0.140129158771*用水 0.132486323688*公寓 0.124843173138*爱情
0.22533381673*后会无期 0.199482354851*所有人 0.197759204019*电影票 0.19086660069*错过 0.18655802371*寄给
0.249862795802*小 0.24769017012*小 0.223790649833*时代 0.143401905137*分手 0.135254479107*大师
0.243696542899*小 0.226395686443*小 0.195254716078*时代 0.173999694378*奇谭 0.160653360201*古剑
0.268575625815*古剑 0.267113853875*古剑 0.26614009586*奇谭 0.102736918276*电视剧 0.0954335061735*苏苏
0.266097464678*小 0.265991159212*小 0.261513572976*时代 0.113753227168*郭敬明 0.0926445759656*电影
