0.344300933346*马航 0.175901427423*飞机 0.169610730362*客机 0.159932439882*坠毁 0.150254468987*台湾
0.28732059601*奇谭 0.280802417688*古剑 0.280035129233*古剑 0.0938144726703*电视剧 0.0580273843992*李易峰
0.210374166752*阿尔及利亚 0.203823854922*马航 0.197509638584*台湾 0.196506678767*MH17 0.191785660975*击落
0.31529636889*后会无期 0.204045614717*韩寒 0.195069556404*时代 0.186472824251*电影 0.099115635738*郭敬明
0.321492243639*后会无期 0.263514586089*电影 0.168973881056*时代 0.126404726143*喜欢 0.119614563074*台词
0.260142511827*古剑 0.251550697279*奇谭 0.250118675408*古剑 0.123628582549*李易峰 0.114559532937*电视剧
0.214594473293*马航 0.198514003228*复兴 0.197515945695*天气 0.195741294066*航空 0.193634283718*MH17
0.323921049034*时代 0.26249479313*电影 0.15642919531*时间 0.14708163623*后会无期 0.110073326297*吴亦凡
0.337371953423*时代 0.304796541435*后会无期 0.164647007864*电影 0.111112273638*韩寒 0.0820722236405*微信
0.273817143658*金砖 0.233307599677*国家 0.232932590038*中国 0.131284160255*俄罗斯 0.128658506371*美国
0.292057335927*巡视 0.211548827018*巡视组 0.209883197592*中央 0.145476158967*工作 0.141034480497*马航
0.272430709465*古剑 0.269817001328*古剑 0.268919696802*奇谭 0.102212864095*电视剧 0.0866197283102*苏苏
0.360790136447*后会无期 0.222348900333*电影 0.181541267036*韩寒 0.153700365712*时代 0.0816193304721*公映
0.315206714803*后会无期 0.263428276901*时代 0.183172271355*电影 0.146927135542*爱情 0.0912656013984*不想
0.472782894127*时代 0.149176672969*顾里 0.13772565738*电影 0.135529898652*林萧 0.104784876872*宛如
0.426832629571*后会无期 0.168810038511*韩寒 0.15919369981*电影 0.127563841074*喜欢 0.117599791034*公映
0.237230575377*金砖 0.19522296183*女大八 0.19192832161*生进儿 0.188632413733*闲妻 0.186985727451*生宝儿
0.357800916582*时代 0.192499396132*后会无期 0.178457567961*电影 0.138464830585*郭敬明 0.13277728874*韩寒
0.336223540364*时代 0.252866234629*后会无期 0.16160573904*京城 0.126434060491*分手 0.122870425476*大师
0.310181049053*后会无期 0.231630220042*时代 0.193841866742*电影 0.18946827181*韩寒 0.0748785923525*世界
