0.292860704228*后会无期 0.197208295557*电影 0.185403731272*时代 0.185216460298*小 0.139310808645*韩寒
0.216708159194*古剑 0.211471725558*奇谭 0.205510384125*古剑 0.189317666704*删减 0.176992064419*剧
0.290449125209*时代 0.290449125209*小 0.176453402219*后会无期 0.130422140854*票房 0.112226206508*韩寒
0.312072535242*时代 0.295949694679*小 0.168398938486*后会无期 0.137944387109*电影 0.0856344444842*巡视组
0.283089817729*奇谭 0.266258069116*古剑 0.263580290928*古剑 0.113045958377*电视剧 0.0740258638502*苏苏
0.224408988396*古剑 0.220963895631*奇谭 0.198326959781*古剑 0.182579284976*小 0.173720871216*电视剧
0.30940547839*小 0.199470929871*微信 0.169248576777*关注 0.166226413288*精彩 0.155648601675*时代
0.2668431515*奇谭 0.227272133341*古剑 0.206951551168*古剑 0.152407632925*小 0.146525531066*剧情
0.307329702481*金砖 0.255331447143*中国 0.231998847185*国家 0.108669849774*巴西 0.096670153417*世界
0.317193209396*时代 0.30208918334*小 0.179184682883*后会无期 0.125388536705*电影 0.0761443876748*喜欢
0.276366741764*小 0.264350998177*时代 0.165554963551*变形金刚 0.161104463454*后会无期 0.132622833053*刺金
0.297997107528*时代 0.276453064107*小 0.193326980483*后会无期 0.163584692037*电影 0.0686381558446*喜欢
0.257775914022*古剑 0.239923564815*古剑 0.2331616242*奇谭 0.163646587341*小 0.105492309623*电视剧
0.289216241921*时代 0.283346506548*小 0.223385394184*后会无期 0.131660927853*电影 0.0723909294933*票房
0.270673800258*古剑 0.261748223316*古剑 0.259469402438*奇谭 0.120573747609*李易峰 0.0875348263787*电视剧
0.258670713184*后会无期 0.247805898881*小 0.239169461535*时代 0.140827696166*韩寒 0.113526230234*喜欢
0.354535479948*时代 0.354329377557*小 0.0993818780884*顾里 0.0959797991868*测测 0.0957734652203*挺好玩
0.248201875458*时代 0.247532764175*小 0.227044592055*后会无期 0.148018273165*电影 0.129202495147*韩寒
0.293106065352*古剑 0.277447158468*古剑 0.27573048128*奇谭 0.102922527463*电视剧 0.0507937674378*游戏
0.20402433232*甄 0.201598654054*消息 0.198897377351*规则 0.198566613447*乐 0.196913022827*爱情
