0.265100825364*大旱 0.228067414174*奇谭 0.214423409868*古剑 0.157898878739*河南 0.134509471855*古剑
0.225490097715*奇谭 0.224857240542*古剑 0.218216099115*古剑 0.165718281314*爱情 0.165718281314*回来
0.454478122645*后会无期 0.184439400896*电影 0.13692469616*告别 0.118607662922*喜欢 0.105550117378*人生
0.347414596051*后会无期 0.196178922834*电影 0.177072408464*小 0.166577386819*时代 0.112756685832*韩寒
0.366543368434*后会无期 0.224489376367*电影 0.162865801785*音乐 0.136455858585*平凡 0.109645594829*朴树
0.263073045128*古剑 0.261616479198*古剑 0.261616479198*奇谭 0.125128066134*李易峰 0.0885659303429*电视剧
0.363416019964*小 0.363152386474*时代 0.0982226983492*兴趣 0.088135421933*后会无期 0.0870734732806*挺好玩
0.211608179244*小 0.207979607165*年龄 0.200725714416*金砖 0.189843249588*生进儿 0.189843249588*女大八
0.24107800241*大道 0.213114045107*心情 0.210221282072*金砖 0.169721902025*武汉 0.165864768385*奇谭
0.284717452859*古剑 0.284717452859*奇谭 0.282516599928*古剑 0.078335284769*苏苏 0.0697132095842*电视剧
0.318988230683*小 0.309494387527*时代 0.167595183399*后会无期 0.127347875317*电影 0.0765743230737*郭敬明
0.288406027744*小 0.284871910134*时代 0.22007520132*后会无期 0.110038639844*京城 0.0966082209579*电影
0.211441445053*古剑 0.202467702571*乐 0.199743658432*回来 0.197420036268*古剑 0.188927157676*奇谭
0.307098757926*后会无期 0.192016329367*小 0.182415356553*电影 0.174457048554*时代 0.1440125076*韩寒
0.301112210412*巡视组 0.257990503393*中央 0.225277426114*巡视 0.111527297804*腐败 0.104092562277*问题
0.27847798507*中国 0.190618494106*金砖 0.189873621002*时代 0.180194370878*国家 0.160835528944*小
0.331996801705*小 0.29899734477*时代 0.126501949098*奇谭 0.123002073322*古剑 0.119501831105*古剑
0.355282397074*后会无期 0.214832674353*电影 0.200722045168*韩寒 0.122730676429*喜欢 0.106432206977*小
0.203293753515*规则 0.200987301752*删减 0.199813867162*剧 0.199287908944*发现 0.196617168627*视网
0.428244805234*后会无期 0.16592034878*电影 0.160875470025*韩寒 0.132849284308*故事 0.112110091654*小
