0.212842396914*古剑 0.200570163525*古剑 0.196355462596*消息 0.195859727278*视网 0.194372249688*追剧
0.205904097843*规则 0.203262528379*剧 0.20298453939*产科医生 0.1942255944*爱情 0.193623239987*乐
0.296660637791*古剑 0.295763796095*古剑 0.285009377469*奇谭 0.0699094823629*电视剧 0.0526567062826*发现
0.313969031787*后会无期 0.232052012692*时代 0.226094471314*电影 0.117963720058*喜欢 0.10992076415*古剑
0.460640148494*时代 0.153119204299*顾里 0.138495811161*地址 0.129033652179*林萧 0.118711183866*宛如
0.285123985536*奇谭 0.263667751399*古剑 0.254590296051*古剑 0.116567504604*电视剧 0.0800504624103*屠苏
0.301026381998*中国 0.200484596187*金砖 0.175046327638*奇谭 0.171412058321*后会无期 0.152030635856*国家
0.203028377099*古剑 0.202068604844*古剑 0.200469129871*奇谭 0.197376869772*门派 0.197057018414*穿帮
0.231601978805*乐视 0.221334311115*时代 0.191671705848*乐乐 0.179692599917*奇谭 0.175699404315*古剑
0.398132163532*后会无期 0.254120895125*电影 0.186625355603*韩寒 0.0813383884748*感觉 0.0797831972658*台词
0.447637929988*后会无期 0.185190084585*电影 0.127066029721*韩寒 0.120884878112*平凡 0.119221077594*路
0.471813395657*后会无期 0.166362708054*时代 0.160360797534*电影 0.105428915061*韩寒 0.0960341836944*喜欢
0.241298491136*古剑 0.232233100992*奇谭 0.226431341705*古剑 0.16080523989*产科医生 0.139231826277*回来
0.347533954375*后会无期 0.190359338898*电影 0.189403259799*韩寒 0.188857065696*时代 0.0838463812326*喜欢
0.219181944133*结婚 0.208703092958*回来 0.196332335028*发现 0.19254852152*爱情 0.18323410636*古剑
0.214663927112*奇谭 0.205147219073*古剑 0.199189099168*规则 0.191575732737*删减 0.189424021909*发现
0.237369993321*后会无期 0.194531095176*不错 0.19291449836*陪伴 0.188198659748*走过 0.186985753397*记录
0.353292457976*后会无期 0.203845974636*巡视 0.176374335684*电影 0.139012577806*中央 0.127474653898*巡视组
0.230847966108*古剑 0.218786075831*奇谭 0.210701786172*古剑 0.173232600316*回来 0.166431571573*追剧
0.247257752343*古剑 0.237075292802*奇谭 0.231331232434*古剑 0.16658003615*李易峰 0.11775568627*杨幂
