0.431586645189*后会无期 0.207144195016*时代 0.184902138666*电影 0.114581721584*韩寒 0.0617852995451*人生
0.480570027054*后会无期 0.202141909395*电影 0.109778456837*希望 0.104423970545*评价 0.103085636168*剧透
0.208546467079*古剑 0.208546467079*奇谭 0.206740899332*古剑 0.190791434875*回来 0.185374731635*爱情
0.311614638732*金砖 0.211267383111*时间 0.207746035463*中国 0.137326517402*后会无期 0.132045425292*回来
0.422478985218*后会无期 0.236500509988*电影 0.119672664861*韩寒 0.118409807781*时代 0.102938032152*平凡
0.390277178047*后会无期 0.206099279854*电影 0.203478446357*韩寒 0.119609922801*时代 0.0805351729409*喜欢
0.312088990453*后会无期 0.239129755785*韩寒 0.200416773619*电影 0.154854768108*导演 0.0935097120349*时代
0.330966482071*时代 0.251818305979*后会无期 0.162733223783*电影 0.144809602307*韩寒 0.109672385859*郭敬明
0.463371364659*后会无期 0.170607709718*电影 0.129810978637*人生 0.118220898281*路 0.117989048705*故事
0.277408213355*古剑 0.253630980997*奇谭 0.2338166207*古剑 0.122855781315*李易峰 0.112288403634*电视剧
0.271343372327*后会无期 0.191651350504*记录 0.185010348686*节目 0.176471840767*陪伴 0.175523087717*蜻蜓
0.340568264478*后会无期 0.224575434586*电影 0.147776969553*喜欢 0.144599038048*时代 0.142480293336*文艺
0.47952026096*后会无期 0.174166478577*喜欢 0.130435797237*电影 0.114005478961*告别 0.101871984265*克制
0.408096844719*时代 0.162026117306*奇谭 0.159494416977*古剑 0.155443899231*古剑 0.114938721767*电视剧
0.201601138885*老虎 0.200873465463*铁路 0.20069138626*王春成 0.198871881009*大亨 0.197962128384*军方
0.203477952348*后会无期 0.19972525723*不错 0.199450817708*记录 0.19871847357*节目 0.198627499143*陪伴
0.262197067509*大旱 0.190631418241*古剑 0.188679700997*乐视 0.183474980434*乐乐 0.17501683282*河南
0.235574806999*巡视组 0.235323094353*中央 0.223985909738*巡视 0.179390662496*工作 0.125725526415*西藏
0.232615954447*古剑 0.231605221185*奇谭 0.219468943521*古剑 0.174463212255*乔振宇 0.141846668591*不美
0.284752994894*古剑 0.284417261028*古剑 0.281613144213*奇谭 0.0860992665799*李易峰 0.0631173332849*电视剧
