0.251900868237*春晚 0.220202475933*歌曲 0.192307818053*群发 0.171598153313*短信 0.163990684465*创意
0.213780113631*过年 0.202189199501*红包 0.201223927133*拜年 0.197359014803*年夜饭 0.185447744933*诚揽
0.608474845082*春晚 0.119500267563*北京 0.0919852035932*卫视 0.0904129142235*关注 0.0896267695387*冯小刚
0.401868830576*春晚 0.16142117085*华晨 0.158742114192*我是歌手 0.146686359231*邓紫棋 0.131281525151*歌手
0.426609135767*春晚 0.161008585852*观众 0.145127605638*中国 0.142937140706*节目 0.124317532038*马
0.249409369488*春晚 0.223839320581*李敏镐 0.193155188419*情非得已 0.187844197714*庾澄庆 0.145751923797*合唱
0.233856362853*春晚 0.209205805206*节目单 0.207242551648*联排 0.175611127641*央视 0.174084152652*马
0.260491233576*春晚 0.213649759133*彩排 0.19817708534*语言 0.187367649026*类节目 0.140314272925*观众
0.418608656947*春晚 0.161161213935*手机 0.157938392107*喜欢 0.139002301613*红包 0.123289435398*中国
0.394691792107*春晚 0.261309228925*崔健 0.162637245349*一无所有 0.0994560819706*娱乐 0.0819056516488*艺术
0.442609691243*春晚 0.196159268196*节目 0.141290943518*现场 0.112484818445*明星 0.107455278598*联欢晚会
0.3584371587*春晚 0.206968493078*冯小刚 0.157730655581*马 0.151888893974*李敏镐 0.124974798668*央视
0.397613005558*春晚 0.224404015221*节目 0.136311576801*亮相 0.121430834863*演唱 0.120240567557*央视
0.315033127267*红包 0.292599269238*春晚 0.190453536449*过年 0.109310210368*飞 0.0926038566782*新年
0.329760885667*红包 0.247321632183*飞 0.165531281083*卫视 0.159364385403*春晚 0.0980218156645*中国
0.508064624316*春晚 0.129711458784*冯小刚 0.124867524485*小品 0.118947275003*央视春晚 0.118409117411*舞台
0.358097488922*邓紫棋 0.260784806921*我是歌手 0.129915340789*喜欢 0.126080607723*音乐 0.125121755645*歌手
0.502392550727*春晚 0.12865387087*中国 0.12603718994*节目 0.124292735987*央视 0.118623652476*直通
0.367071676853*红包 0.343537871299*飞 0.115485247949*博客 0.113402527577*头条 0.0605026763229*中国
0.416781877113*春晚 0.164626286363*舞台 0.150217123824*央视春晚 0.146254940845*节目 0.122119771856*观众
