0.322818519225*时代 0.257080296691*电视 0.150188467963*现货 0.136292559625*专门 0.133620156495*乐视
0.296856805693*后会无期 0.217395735825*时代 0.19337999939*电影 0.190142935978*韩寒 0.102224523114*郭敬明
0.362119792868*时代 0.176911110707*工作 0.159469977181*郭敬明 0.152825892147*需要 0.148673227098*品牌
0.320477935924*时代 0.174611726138*林萧 0.16925561349*南湘 0.168005808431*顾里 0.167648916018*宛如
0.480372177778*时代 0.163102911288*电影 0.139131462556*郭敬明 0.117509802855*陈学冬 0.0998836455231*杨幂
0.355479852212*时代 0.263615567684*后会无期 0.158679002466*微信 0.121279602027*推荐 0.100945975611*奢侈品
0.461602117143*时代 0.137590198622*关注 0.135596471355*古剑 0.133602744088*奇谭 0.131608468792*皮肤
0.271062362077*巡视 0.267692118339*中央 0.18103077164*巡视组 0.173327605027*反腐 0.106887142917*老虎
0.290838173355*时代 0.248818327344*后会无期 0.208687127772*电影 0.152975748377*世界 0.0986806231518*喜欢
0.311041434871*时代 0.276159697569*喜欢 0.141080425335*后会无期 0.136414692132*拿来 0.135303750092*洗手
0.217242294927*周永康 0.203557838983*立案 0.200136849541*违纪 0.19842635482*审查 0.180636661728*中共中央
0.242894634101*老虎 0.241977730649*后会无期 0.231896031711*存在 0.151239472884*家乡 0.131992130654*集团
0.369134819905*大旱 0.33528177614*河南 0.125002658201*干旱 0.0885454819398*平顶山 0.0820352638135*旱情
0.227384482091*金砖 0.215612832848*南京 0.185874087709*公交站 0.185874087709*公交 0.185254509643*场站
0.352088532047*时代 0.256999500443*后会无期 0.163127538313*京城 0.120384802903*票房 0.107399626293*马良
0.491326897179*时代 0.142208558833*准备 0.130358748199*后会无期 0.122154998429*同款 0.113950797359*材质
0.233628755043*巡视组 0.224070390561*中央 0.222654396092*巡视 0.181769880578*工作 0.137876577725*专门
0.251261727197*大旱 0.198232150813*干旱 0.190025434463*开头 0.180556062332*农村 0.179924625196*节约用水
0.388482859208*时代 0.227073903838*电影 0.197638853644*后会无期 0.105613007881*喜欢 0.08119137543*郭敬明
0.279326593788*古剑 0.278343547166*古剑 0.274231456721*奇谭 0.086642174028*电视剧 0.0814562282964*李易峰
