0.46975391002*时代 0.194039930902*电影 0.131568165139*郭敬明 0.124945782762*后会无期 0.0796922111778*刺金
0.326776039713*时代 0.215396456089*中国 0.201474238624*上海 0.131042982523*后会无期 0.12531028305*广州
0.298337520293*时代 0.216447486181*后会无期 0.208048849584*京城 0.164129637944*闺蜜 0.113036505998*刺金
0.264616226279*大旱 0.203377047374*严重 0.193296382375*干旱 0.172379371486*农村 0.166330972487*节约用水
0.256376592915*巡视组 0.239083031683*中央 0.210116686716*巡视 0.172791686633*工作 0.121632002053*进驻
0.280507547003*周永康 0.210297466678*立案 0.197927148616*审查 0.192410627593*老虎 0.11885721011*违纪
0.275730789178*奇谭 0.274590934738*古剑 0.272502027578*古剑 0.0905820022435*李易峰 0.0865942462626*苏苏
0.286618816945*马航 0.227646957009*俄罗斯 0.173114022935*制裁 0.172162798005*乌克兰 0.140457405106*客机
0.208023306206*杭州市 0.207075010975*巡视员 0.205397456736*坠楼 0.205251745944*赵纪来 0.174252480139*经信委
0.292146530835*时代 0.195208382191*世界 0.179015264023*朋友 0.174800691936*友情 0.158829131015*遇到
0.327785642309*时代 0.19659747023*顾里 0.161059484858*林萧 0.160303257974*南湘 0.154254144629*宛如
0.380503399222*老虎 0.170702243879*头条 0.166978032774*中国 0.155805399458*反腐 0.126010924667*落马
0.226409593704*后会无期 0.217331212208*时代 0.209353398716*电影 0.197248965679*韩寒 0.149656829693*郭敬明
0.257640612203*白银 0.226103108667*金砖 0.182921364807*现货 0.173702779056*投资 0.159632135267*团队
0.20483880353*值班 0.203343631804*电话 0.200013577356*巡视组 0.196887460342*中央 0.194916526968*巡视
0.347352135212*时代 0.202977175861*电影 0.189744820363*后会无期 0.179111774813*喜欢 0.0808140937514*需要
0.369646072763*后会无期 0.201625243673*时代 0.187745402746*电影 0.154689203943*韩寒 0.0862940768752*喜欢
0.241900483387*古剑 0.237339221669*奇谭 0.235913699372*古剑 0.157720114673*杨幂 0.1271264809*提问
0.375404768244*马航 0.18918122467*MH17 0.160508671086*航班 0.143068934052*客机 0.131836401949*乌克兰
0.278322204425*巡视 0.198807314174*看看 0.194831547586*手机 0.178928481235*回复 0.14911045258*关注
