0.322531043754*时代 0.304397499673*后会无期 0.158033606195*电影 0.110109335591*感觉 0.104928514787*出现
0.397089877202*时代 0.194545146548*电影 0.190727131074*后会无期 0.1174552552*闺蜜 0.100182589977*喜欢
0.432903812731*时代 0.157881352288*林萧 0.155751570534*顾里 0.128861555417*宛如 0.12460170903*刺金
0.238343652426*巡视 0.223060319135*中央 0.211259267526*巡视组 0.203134028149*工作 0.124202732763*进驻
0.28478990022*古剑 0.283897108193*奇谭 0.278992130307*古剑 0.0883147722229*李易峰 0.0640060890568*苏苏
0.231485112186*巡视员 0.221218073142*杭州市 0.215058027547*赵纪来 0.183573152468*坠楼 0.148665634657*市政府
0.422264691609*时代 0.196460613162*后会无期 0.135081352189*影城 0.126120883359*刺金 0.12007245968*电影
0.308459986211*马航 0.200866493431*MH17 0.187026264596*客机 0.15838275596*坠毁 0.145264499802*航班
0.29628651302*大旱 0.238569108806*河南 0.164101983557*村民 0.157537942917*严重 0.1435044517*取水
0.205127878263*时代 0.201638633731*遇到 0.200576927279*世界 0.199211095652*友情 0.193445465075*西游记
0.2118554088*巡视组 0.203923998113*巡视 0.203089041554*受理 0.202880370077*中央 0.178251181457*工作
0.225494041945*时代 0.214373738503*闺蜜 0.210872985573*后会无期 0.202635890443*白发 0.146623343537*魔女传
0.349394236578*老虎 0.24048076376*反腐 0.176867815703*落马 0.119038201565*频道 0.114218982393*纪录
0.279845531497*后会无期 0.274808756923*时代 0.208782510628*电影 0.131581355312*韩寒 0.10498184564*郭敬明
0.319269052344*巡视组 0.282145039369*中央 0.139386782807*国家体育总局 0.133649297323*聚集 0.125549828157*时间
0.275340288392*古剑 0.271666446415*古剑 0.271449044862*奇谭 0.111303732687*电视剧 0.0702404876439*李易峰
0.221159658992*工作 0.217064281794*巡视员 0.193174194379*婴幼儿 0.189078817182*乳粉 0.179523047653*安全
0.26527434603*周永康 0.226109246899*立案 0.201914495209*审查 0.161879968894*中央 0.144821942968*决定
0.271333031944*金砖 0.203810993257*重磅 0.181027669968*朋友 0.173778330917*事件 0.170049973913*消息
0.209221599614*事件 0.203091546326*俄罗斯 0.199626816551*马航 0.199360474989*世界 0.188699562521*格局
