0.222282850091*高雄 0.209175413878*爆炸 0.199890661308*台湾 0.192244598926*高雄 0.176406475798*燃气
0.209243298731*老虎 0.203588055792*落马 0.199688015149*反腐 0.195397878439*带走 0.192082751889*纪录
0.500554886869*时代 0.150927019954*顾里 0.128824302388*林萧 0.119000596296*地址 0.100693194492*南湘
0.283233709682*奇谭 0.28292411841*古剑 0.282489536873*古剑 0.080357587534*电视剧 0.0709950475011*李易峰
0.214583019927*发生 0.214085819366*台湾 0.212531931021*爆炸 0.185802210339*高雄 0.172997019346*高雄
0.272170434237*周永康 0.201857887226*审查 0.198479594855*立案 0.180321012992*党纪国法 0.14717107069*党员干部
0.308049126293*高雄 0.300466899406*高雄 0.141385183547*希望 0.125827317847*朋友 0.124271472907*平安
0.270151871595*高雄 0.266808754696*高雄 0.157875525949*爆炸 0.156946659936*發生 0.148217187825*高雄市
0.299634891913*高雄 0.286479904455*高雄 0.163125251249*台湾 0.144100890918*爆炸 0.106659061465*燃气
0.256397070949*时代 0.205216349619*朋友 0.185039558142*后会无期 0.179134186152*白发 0.174212835139*大旱
0.23762028242*巡视 0.236460588537*巡视组 0.22747281474*中央 0.157891766583*进驻 0.140554547719*陕西
0.226934633803*台湾 0.206811133842*高雄 0.198142265757*高雄 0.186068249538*马航 0.18204371706*爆炸
0.258867605474*方面 0.19512192693*高雄 0.186253201102*时间 0.180710185217*燃气 0.179047081277*小时
0.218912907451*燃气 0.215203522032*爆炸 0.213483030933*台湾 0.177194716952*高雄 0.175205822631*高雄
0.336096391262*时代 0.230664875162*后会无期 0.168387567929*电影 0.134033215603*闺蜜 0.130817950044*古剑
0.227404620284*老虎 0.220990582768*头条 0.211661294507*中央 0.17376157719*博客 0.166181925251*中国
0.341961111436*后会无期 0.227513094502*时代 0.208221361714*电影 0.144973810996*韩寒 0.0773306213514*喜欢
0.204984888074*高雄 0.203987938701*高雄 0.203589253093*爱情 0.194416895232*女孩 0.1930210249*男孩
0.229454438846*爆炸 0.197870292497*发生 0.196675341101*台湾 0.189558456592*高雄 0.186441470964*高雄市
0.377461868641*马航 0.183399121001*乌克兰 0.172733711982*MH17 0.133782279358*客机 0.132623019018*事件
