0.231978522691*高雄 0.230030469078*高雄 0.185360436539*爱情 0.176593612519*后悔 0.176036959172*洪卓立
0.396203880191*马航 0.181304310113*MH17 0.147040332846*坠毁 0.141717654507*客机 0.133733822342*乌克兰
0.314161842966*后会无期 0.288729556094*时代 0.192403580843*电影 0.109874139633*闺蜜 0.0948308804652*七夕
0.222447655508*高雄 0.220336260176*爆炸 0.21684383614*高雄 0.206042473533*台湾 0.134329774644*事故
0.547641484293*时代 0.144628025759*电影 0.123001696503*后会无期 0.099798515388*顾里 0.0849302780575*刺金
0.256362445951*高雄 0.22590854737*高雄 0.205908911107*爆炸 0.163637190312*高雄市 0.14818290526*台湾
0.250769628367*周永康 0.233023358665*原文 0.198302495116*查看 0.195216246689*老虎 0.122688271164*头条
0.31451865614*时代 0.235107793969*七夕 0.207940993369*电影 0.12644059157*手表 0.115991964952*明月
0.248674637995*老虎 0.231744395497*反腐 0.201058134544*落马 0.175662546311*中国 0.142860285653*马航
0.247099478363*昆山 0.204195197484*高雄 0.200381238098*高雄 0.187986790831*爆炸 0.160337295225*台湾
0.235351184129*幸福 0.205809832486*黄金 0.192023785063*古剑 0.19054671748*奇谭 0.176268480843*赚钱
0.296159061339*高雄 0.288111221712*高雄 0.168774721887*希望 0.126466657784*平安 0.120488337278*天佑
0.241315818779*巡视组 0.229776645629*中央 0.195155203513*电话 0.170475320226*巡视 0.163277011853*值班
0.264017055716*台湾 0.247674673535*高雄 0.242321295278*高雄 0.123697981127*爆炸 0.122288994344*发生
0.249026017714*时代 0.217898454035*世界 0.183852550112*相信 0.178016131922*人群 0.171206846217*走向
0.251382041383*大旱 0.205270160652*严重 0.194203109161*干旱 0.174967570716*用水 0.174177118088*吃水
0.202277765717*剧 0.201684770229*高雄旗 0.201447358149*梦见 0.197413758993*诗雅 0.197176346913*军方
0.22208681358*秦时 0.217387921903*时代 0.217300401156*明月 0.207988193646*道歉 0.135236669715*弹幕
0.353093607506*奇谭 0.350146296633*古剑 0.118900333572*李易峰 0.0977736152983*电视剧 0.0800861469903*七夕
0.305036449343*高雄 0.291529166826*高雄 0.199160444744*爆炸 0.123221127974*台湾 0.0810528111133*发生
