0.292696114607*地震 0.235924392494*云南 0.191274886928*鲁甸县 0.163230616045*发生 0.116873989926*鲁甸
0.256859260175*地震 0.224535379896*救援 0.195418541178*云南 0.186459618424*鲁甸 0.136727200326*震中
0.349360293085*地震 0.280766851417*云南 0.128263490885*安息 0.121337334516*鲁甸县 0.120272030097*逝者
0.21644329829*云南 0.196848011827*失联 0.196217498955*生命 0.195797294227*海南 0.194693896701*发生
0.284549945289*地震 0.214935411304*云南 0.209002570055*发生 0.147773287034*鲁甸县 0.143738786319*造成
0.296288000184*地震 0.196291225359*灾区 0.193791493755*云南 0.167304853712*鲁甸 0.14632442699*救援
0.319614087094*地震 0.24785048819*昆山 0.210080579928*爆炸 0.133628975467*云南 0.0888258693211*中国
0.253398161084*大旱 0.233073501152*严重 0.190312782129*农村 0.170780290918*开头 0.152435264716*事情
0.206145314027*工厂 0.205075756119*高雄 0.197400190619*珍惜 0.196045828452*高雄 0.195332910783*昆山
0.23757792205*地震 0.200684120057*马航 0.192948566062*白银 0.191758679666*黄金 0.177030712166*云南
0.326756485665*地震 0.214845350811*云南 0.161494135864*鲁甸县 0.157282119195*灾区 0.139621908464*鲁甸
0.244736161065*地震 0.211798628588*鲁甸县 0.188927628965*昭通市 0.178829714612*云南 0.175707866771*遇难
0.416736264211*时代 0.215323137241*后会无期 0.163610031936*电影 0.104212352059*世界 0.100118214554*奇谭
0.266507344679*地震 0.210584728647*云南 0.178485997377*昆山 0.174043628697*台湾 0.1703783006*爆炸
0.203182872242*昆山 0.202136602229*高雄 0.201938958092*高雄 0.198444112181*事件 0.194297455256*马航
0.211200775732*气炸 0.206525935083*MH370 0.201739651932*云南昆明 0.196357093947*脆弱 0.184176543306*事情
0.267781075349*昆山 0.260770457115*爆炸 0.159566208338*工厂 0.159146782849*事故 0.152735476349*云南
0.260702480431*云南 0.196459437999*昆山 0.187997577558*地震 0.177531500788*高雄 0.177309003225*高雄
0.324738715437*地震 0.268664606344*云南 0.151573958671*发生 0.128370717375*马航 0.126652002172*祈福
0.211202670206*MH17 0.207053478992*马航 0.206193476764*鲁甸 0.20204428555*云南 0.173506088487*灾难
