0.288423504357*昆山 0.265014737404*爆炸 0.175480595879*工厂 0.14011120948*事故 0.13096995288*发生
0.33273620519*地震 0.188242911382*鲁甸县 0.172991408038*云南 0.167979610851*昭通市 0.13804986454*死亡
0.222009777081*昆山 0.209062994004*云南 0.197225694358*爆炸 0.196670777035*台湾 0.175030757522*燃气
0.310207734808*地震 0.212843112245*云南 0.1772779931*昆山 0.150164897637*爆炸 0.14950626221*黄金
0.231550548162*地震 0.21079870534*云南 0.192734871973*昆山 0.182616084628*高雄 0.182299789897*珍惜
0.33900678446*地震 0.192175623747*云南 0.166714593024*鲁甸 0.15720237548*废墟 0.144900623288*鲁甸县
0.243187076355*地震 0.204196636623*救援 0.196175312742*云南 0.179601723219*山镇 0.176839251061*龙头
0.286019550792*发生 0.209269847415*地震 0.187540185701*PX 0.161100719926*昆山 0.156069696166*工作
0.281028563436*地震 0.23618079262*云南 0.172583471962*鲁甸 0.169989864262*鲁甸县 0.140217307721*昭通市
0.312315049718*地震 0.223281425599*灾区 0.21313476048*云南 0.140380401276*鲁甸 0.110888362927*救援
0.392108409209*地震 0.196569583347*云南 0.16409400349*PX 0.134362796772*发生 0.112865207182*灾区
0.209588339423*高雄 0.204682978271*高雄 0.199317879364*马航 0.193454392184*昆山 0.192956410758*生命
0.310344203542*大旱 0.194726109534*严重 0.182014985918*河南 0.171737776479*影响 0.141176924527*农村
0.34812916461*地震 0.196019340811*云南 0.187470029535*鲁甸县 0.134601063799*救援 0.133780401245*灾区
0.322112871676*时代 0.205400284225*后会无期 0.186667826771*电影 0.143568028822*古剑 0.142250988505*奇谭
0.273101791677*昆山 0.227094188256*爆炸 0.191730322601*事故 0.173974991158*中荣 0.134098706307*金属制品
0.24753602692*地震 0.227899831752*云南 0.202228914194*鲁甸 0.166780619834*灾区 0.1555546073*希望
0.27865316442*时代 0.192256951721*世界 0.182305299624*朋友 0.175634123001*遇到 0.171150461235*认识
0.227484590862*腐败 0.214314825609*巡视 0.208016365188*巡视组 0.189366084657*中央 0.160818133684*发现
0.238107446415*PX 0.210326259107*老虎 0.184641603315*反扑 0.183724329532*后会无期 0.18320036163*反腐
