0.295535297451*黄金 0.263382436271*地震 0.200444759641*云南 0.125363950948*发生 0.115273555689*鲁甸
0.29550739999*地震 0.212709210022*云南 0.211065925223*灾区 0.165206113749*鲁甸 0.115511351017*爱心
0.262958923501*地震 0.236308791971*云南 0.204652125456*鲁甸 0.155511340722*鲁甸县 0.14056881835*造成
0.280856368851*地震 0.221859701626*云南 0.197640266025*发生 0.155255631626*马航 0.144388031871*海南
0.340175736113*大旱 0.324883686917*河南 0.139295514184*地震 0.0992505200393*河南人 0.0963945427473*云南
0.270357568051*地震 0.199751751705*鲁甸县 0.193063406412*云南 0.170378765788*造成 0.166448508043*云南省
0.360234985435*地震 0.231407756157*云南 0.187394008976*鲁甸 0.114990258406*灾区 0.105972991026*鲁甸县
0.221466965377*马航 0.201299581949*高雄 0.195548324128*高雄 0.192934116027*珍惜 0.188751012519*云南
0.271947542056*地震 0.205905606191*救援 0.181140018331*鲁甸 0.180901767292*云南 0.16010506613*龙头
0.311891155534*后会无期 0.268976826055*时代 0.198035108717*电影 0.116959893913*闺蜜 0.10413701578*韩寒
0.238229518887*地震 0.228708603644*云南 0.221803716227*昆山 0.167713066259*生命 0.143545094982*珍惜
0.378115595541*地震 0.169127685677*灾区 0.161745677226*云南 0.14911447356*祈福 0.141896567995*信息
0.24741044194*马航 0.218528007305*朋友 0.180926622318*大旱 0.180381886094*白银 0.172753042342*现货
0.218149038078*时代 0.213252335935*世界 0.191278677682*朋友 0.191050973584*遇到 0.186268974721*友情
0.345116816041*地震 0.175224679546*中央 0.167368474456*云南 0.158389954353*巡视 0.153900075605*救援
0.208158347465*昆山 0.198981689642*地震 0.197750566467*云南 0.197694652814*高雄 0.197414743612*高雄
0.356528532148*地震 0.192710706762*云南 0.185153430723*灾区 0.135401447362*鲁甸 0.130205883004*中国
0.376998121967*地震 0.221061243717*云南 0.169389918123*鲁甸 0.137059235523*鲁甸县 0.0954914806711*救援
0.345997760008*昆山 0.254429809529*爆炸 0.175636676018*事故 0.129399635074*中荣 0.0945361193715*江苏
0.25984980129*时代 0.218307420504*奇谭 0.217355056082*古剑 0.157064725782*地址 0.147422996343*挺好玩
