0.259561284269*昆山 0.21375696272*发生 0.204966116314*爆炸 0.199876747253*事故 0.121838889444*地震
0.348628385238*后会无期 0.251025246672*时代 0.179119116445*电影 0.111639375101*白发 0.109587876542*闺蜜
0.234091481353*中央 0.217701417597*巡视组 0.21500179019*地震 0.214423298603*巡视 0.118782012258*工作
0.346443356577*地震 0.207317130759*云南 0.175369516284*鲁甸 0.147028915928*发生 0.123841080451*小时
0.307805324906*地震 0.21695047467*云南 0.188896604439*灾区 0.155035148253*祈福 0.131312447732*鲁甸
0.315469895958*地震 0.187338430393*救援 0.186714324912*鲁甸 0.185465817322*云南 0.125011531417*希望
0.444607928192*地震 0.175680937201*云南 0.149571502535*灾区 0.135024963705*鲁甸 0.0951146683686*四川
0.29442929081*昆山 0.245653086172*爆炸 0.196233282855*事故 0.132647010527*中荣 0.131037329636*企业
0.269057851832*云南 0.227089538793*地震 0.168449238241*高雄 0.167989151794*高雄 0.16741421934*鲁甸
0.330982367758*地震 0.200124994776*鲁甸县 0.164063431999*云南 0.153173309626*发生 0.15165589584*鲁甸
0.240869198656*地震 0.202624878034*爱心 0.202031036806*鲁甸 0.201555911294*云南 0.15291897521*灾区
0.387602887303*地震 0.231830606034*昆山 0.152676749149*云南 0.114648878509*鲁甸 0.113240879005*生命
0.308731575558*地震 0.202792640007*鲁甸 0.18517310224*救援 0.174202229068*云南 0.129100453127*龙头
0.239181252791*灾区 0.23331895229*地震 0.195054339075*云南 0.171178870805*鲁甸 0.161266585039*捐款
0.21177527417*后会无期 0.198684471013*朋友 0.197394736712*看过 0.19610500241*学生 0.196040515695*发起
0.342575305387*地震 0.195259461457*云南 0.17754941372*鲁甸 0.142934208705*山镇 0.141681610731*龙头
0.222752500178*世界 0.209354781127*遇到 0.20458657057*朋友 0.189146098967*时代 0.174160049158*认识
0.2820266661*地震 0.213263049045*云南 0.19715519981*鲁甸县 0.19263369827*鲁甸 0.114921386775*昭通市
0.326539444349*地震 0.189892907766*河南 0.171280539417*云南 0.169867253978*大旱 0.14241985449*中国
0.348005987911*时代 0.197645160322*地址 0.15779012143*测测 0.155435133499*中国 0.141123596838*地震
