0.380116873524*红包 0.276450862655*飞 0.129321138895*春晚 0.11649613469*关注 0.0976149902362*过年
0.353909711653*春晚 0.165652823205*节目 0.162174552223*马 0.159131456459*董卿 0.159131456459*主持
0.356589068176*红包 0.259967040485*飞 0.154909720411*星座 0.115033998949*双子 0.113500171979*射手
0.368866252828*春晚 0.195844854651*歌曲 0.160763500631*演唱 0.142371494744*马 0.132153897146*苏菲
0.362170131763*春晚 0.207696410453*观众 0.179858270987*现场 0.129095074695*揭秘 0.121180112103*央视
0.463796836382*红包 0.274258070487*飞 0.0965322780483*活动 0.0912532538389*微信 0.074159561244*手机
0.483729061192*春晚 0.174060509508*中国 0.136460791379*李敏镐 0.107310632458*北京 0.0984390054623*喜欢
0.444040873346*春晚 0.145480230423*春节 0.14503265966*主持人 0.136975488998*联欢晚会 0.128470747573*卫视
0.410355056351*春晚 0.172072899952*开心 0.145496763053*百姓 0.137839506467*手机 0.134235774177*快乐
0.361279460315*红包 0.354001903912*飞 0.114246174806*头条 0.110059072842*博客 0.0604133881251*中国
0.284374089224*春晚 0.189904066621*马 0.186298327603*联排 0.185096188141*类节目 0.154327328411*观众
0.357637489541*邓紫棋 0.284252453362*我是歌手 0.140735118725*歌手 0.117512139804*喜欢 0.0998627985682*周笔畅
0.436317500234*春晚 0.149619155173*红包 0.144051874065*飞 0.138485147357*节目 0.131526323172*舞台
0.49139291532*春晚 0.153764161212*播出 0.133334671003*节目 0.112187753116*时间 0.109320499349*春节
0.371327511976*春晚 0.253309469034*李敏镐 0.13788230587*央视 0.12320193071*马 0.11427878241*韩国
0.462906706374*春晚 0.169699508199*马 0.151855280067*央视 0.113017612531*中国 0.102520892829*李敏镐
0.398844716462*春晚 0.198270914146*冯小刚 0.165706476961*导演 0.122479330619*张国立 0.114698561811*马
0.552596306895*春晚 0.189558870289*卫视 0.110043718092*春节 0.0763101592742*马 0.0714909454495*节目
0.340052278125*春晚 0.228297568949*娱乐 0.150718451779*凤凰 0.146617487693*马 0.134314213454*类节目
0.234145413386*过年 0.209182881318*红包 0.200573703827*拜年 0.195408840903*年夜饭 0.160689160565*缺钱
