0.290642118213*昆山 0.255270541661*爆炸 0.186443594445*事故 0.146019102751*企业 0.121624642931*发生
0.290758254496*地震 0.264457250662*灾区 0.185313166716*云南 0.158369043809*鲁甸 0.101102284317*发生
0.311199010405*地震 0.226949683317*鲁甸 0.183387033483*云南 0.148113929134*救援 0.130350343661*鲁甸县
0.213265669411*地震 0.20627150149*造成 0.202599553497*死亡 0.190184797254*鲁甸县 0.187678478349*巧家县
0.386169901308*地震 0.194707843415*发生 0.172990697455*四川 0.134423572744*中国 0.111707985078*雅安
0.307498093653*地震 0.202736696921*云南 0.171647601917*灾区 0.16617436158*爱心 0.151943245929*鲁甸
0.335454033666*时代 0.273990215173*后会无期 0.196550537859*电影 0.099896524743*白发 0.0941086885594*闺蜜
0.210918978422*马航 0.205518500857*MH17 0.200215983802*击落 0.191869630742*美国 0.191476906178*导弹
0.307910352434*地震 0.208910011477*鲁甸 0.177193367194*云南 0.17260982243*灾区 0.133376446464*救援
0.23105980713*云南 0.194561551956*高雄 0.194416391026*地震 0.192380415929*高雄 0.187581833957*昆山
0.263831785243*地震 0.210962962601*鲁甸 0.206249912116*云南 0.200307396781*灾区 0.11864794326*受灾
0.265067868308*大旱 0.261549985693*河南 0.17501172672*领导 0.171494110773*走过场 0.126876308506*拍照
0.355580025013*地震 0.207923261414*中央 0.148139830237*巡视组 0.147659790332*发现 0.140697093004*巡视
0.258596154254*朋友 0.205226832371*世界 0.203851480778*遇到 0.191747118393*时代 0.140578414204*地震
0.467447896438*地震 0.16875349558*中国 0.136205275995*云南 0.127442051051*后会无期 0.100151280936*汶川
0.272795344326*地震 0.221871792611*云南 0.185519090027*鲁甸 0.183265673221*救援 0.136548099815*谢樵
0.38032903121*马航 0.216432155945*马来西亚 0.162219624505*MH17 0.120824834054*MH370 0.120194354285*财富
0.300738864494*地震 0.21839607327*云南 0.199401022673*鲁甸 0.169458337373*鲁甸县 0.112005702191*造成
0.285138434118*地震 0.19480742103*鲁甸 0.194718060465*灾区 0.162757576611*捐款 0.162578507776*云南
0.317108970579*地震 0.182943836076*山镇 0.180168595844*云南 0.178461052201*龙头 0.1413175453*鲁甸
