0.403624554731*地震 0.169529509252*云南 0.14980959434*河南 0.143925304915*中国 0.133111036762*大旱
0.257410140989*工作 0.216095710176*地震 0.210413011267*鲁甸 0.163569651968*决定 0.152511485599*遇难
0.290062163803*地震 0.227894625615*云南 0.18859725431*鲁甸 0.155258868527*灾区 0.138187087744*捐款
0.422489288715*地震 0.175965053029*鲁甸 0.138258564705*灾区 0.134510047341*云南 0.12877704621*龙头
0.308459249772*地震 0.197072401118*汶川 0.187790274915*海啸 0.161728740969*小学 0.144949333227*教育
0.303725264341*马航 0.207672911077*MH17 0.178482132388*马来西亚 0.155963400307*美国 0.154156291887*击落
0.273678806706*地震 0.204514821217*鲁甸 0.181556270536*爱心 0.180595621121*云南 0.15965448042*灾区
0.345909085669*地震 0.19110032549*云南 0.187788166304*鲁甸 0.138537331443*堰塞湖 0.136665091095*鲁甸县
0.323116468989*时代 0.279079052349*后会无期 0.193933147821*电影 0.119142632171*世界 0.0847286986703*朋友
0.36613627622*地震 0.221426468324*灾难 0.152986192496*云南 0.134422312092*鲁甸 0.125028750869*生命
0.208251297469*鸣笛 0.202588826177*防空警报 0.201664121385*全省 0.196001302851*商场 0.191494452118*分钟
0.205804463946*地震 0.201589656596*鲁甸 0.19906063698*力量 0.198157463977*献出 0.195387778501*云南
0.225677838429*地震 0.219609257605*文化 0.19135213472*广场 0.182818304236*鲁甸 0.18054246501*蜡烛
0.255166907393*地震 0.218965262643*云南 0.178880189593*失踪 0.17549804364*遇难 0.17148959673*鲁甸
0.223339809506*同胞 0.221510685684*广场 0.18767157908*地震 0.186025367641*鲁甸 0.181452558088*分钟
0.332403194669*地震 0.236851889472*云南 0.209352322813*鲁甸 0.114815056151*救援队 0.106577536896*灾区
0.289948458461*地震 0.198334303302*鲁甸 0.172360614214*鲁甸县 0.171513373228*受灾 0.167843250795*死亡
0.215121515637*逝者 0.210118932834*坚强 0.206437567813*地震 0.184727311028*鲁甸 0.183594672689*安息
0.264954107912*地震 0.221810129201*云南 0.201429283032*昆山 0.161726433967*鲁甸 0.150080045888*爆炸
0.307511455423*地震 0.233388630745*云南 0.165609573431*鲁甸县 0.150417951795*工作 0.143072388607*救灾
