0.344958225438*地震 0.232369193217*灾区 0.175463066611*云南 0.124369518141*发生 0.122839996592*鲁甸县
0.25657842065*地震 0.202216174621*鲁甸 0.184037640694*逝者 0.183171854437*云南 0.173995909598*坚强
0.385113482045*地震 0.237355243317*云南 0.146315543338*爆炸 0.122652715865*西藏 0.108563015436*昆山
0.485670205344*地震 0.168858100907*海啸 0.124706515131*世界 0.110888172124*小学 0.109877006494*泥石流
0.356459463095*马航 0.201022013032*MH17 0.158666505917*坠毁 0.146833821604*客机 0.137018196351*飞机
0.209115020117*地震 0.208382906972*爱心 0.199597326641*云南 0.197675446163*鲁甸 0.185229300107*希望
0.232313795222*地震 0.221300793869*鲁甸 0.185022136*鲁甸县 0.183726344537*群众 0.177636930372*山镇
0.209483280612*地震 0.208300430097*同胞 0.201794297903*遇难 0.196667905555*鲁甸 0.183754085832*默哀
0.209180341185*默哀 0.207626460775*地震 0.205231113507*分钟 0.189110586891*人员 0.188851497641*全省
0.372226163988*地震 0.176495638264*社会 0.163948594711*告诉 0.143873883977*准备 0.14345571906*小学
0.268192760474*地震 0.224787453015*鲁甸 0.212596978338*搜救 0.160879502025*工作 0.133543306148*云南
0.33377562284*时代 0.307511011839*后会无期 0.195707805197*电影 0.0852329295933*世界 0.0777726305306*喜欢
0.361571536897*地震 0.218814829258*鲁甸 0.212751260942*云南 0.104297434263*鲁甸县 0.102564938641*灾区
0.310909906534*地震 0.226395407757*发生 0.181833591734*云南 0.142223256766*云南省 0.13863783721*鲁甸
0.336704778165*地震 0.194459101277*环卫工 0.181673209028*女工 0.151839087027*捐款 0.135323824503*丈夫
0.292960275916*地震 0.218605252327*云南 0.198281650187*鲁甸 0.146398166005*救灾 0.143754655565*灾区
0.207106622879*遇难 0.205076236788*伊朗 0.199746058414*坠毁 0.194416181776*MH370 0.193654900143*客机
0.313514774935*地震 0.192258333177*云南 0.179854754604*鲁甸 0.166595723885*救人 0.147776413398*震中
0.280556591218*地震 0.192369241059*张祥青 0.179575235397*董事长 0.177747649423*天津 0.169751282903*荣程
0.373537295956*地震 0.221827914078*云南 0.174249138812*鲁甸 0.122913930743*发生 0.107471720411*生命
