0.338177343457*地震 0.204403514343*灾区 0.194017821916*云南 0.141671357911*时代 0.121729962374*中国
0.426183594355*地震 0.197561942468*应急 0.136774170236*灾难 0.136106044273*生存 0.103374248668*捐款
0.270881513326*马航 0.198477739616*MH17 0.185402249048*客机 0.176815251125*坠毁 0.168423246885*台湾
0.285287936394*地震 0.211305034113*灾区 0.206088798989*鲁甸 0.155844481824*发生 0.141473748679*云南
0.239118718637*中国 0.218092617812*周永康 0.212713669131*报道 0.170660768917*石油大学 0.159414225503*学校
0.322859364161*地震 0.235234649577*云南 0.212887591745*鲁甸 0.119633958052*救援 0.109384436465*灾区
0.21245173973*消防官兵 0.211168058698*救出 0.206675006491*救人 0.189345481153*搜救 0.180359713928*时间
0.216273399873*地震 0.209438403057*龙头 0.207811274156*山镇 0.184214914703*倒塌 0.182262008211*派出所
0.232544677097*地震 0.208272927958*鲁甸 0.201091094966*云南 0.181272869383*爱心 0.176818430595*灾区
0.289115891963*地震 0.237591587549*鲁甸 0.195081395027*云南 0.155686850077*鲁甸县 0.122524275384*房屋
0.334926114494*地震 0.210807658965*鲁甸 0.210244902813*云南 0.122995595648*鲁甸县 0.12102572808*发生
0.323792314652*地震 0.235750101909*发生 0.223138081383*中国 0.122969494522*震源 0.0943500075333*台网
0.263538557054*地震 0.231925142861*灾区 0.197470884606*云南 0.195729824355*鲁甸 0.111335591124*捐款
0.41843367359*时代 0.152235086011*朋友 0.150838338218*后会无期 0.14190000166*电影 0.136592900522*世界
0.220357231026*中央 0.210767105922*巡视 0.207497714762*巡视组 0.192676563803*系统 0.168701384487*干部
0.348844490291*后会无期 0.251484349254*时代 0.226567095644*电影 0.0943901196446*韩寒 0.0787139451662*春刀
0.295880491664*地震 0.264859022868*鲁甸 0.169708102382*云南 0.146376829633*捐款 0.123175553453*同胞
0.275156376749*昆山 0.236707014288*爆炸 0.195254027878*地震 0.159508132207*发生 0.133374448878*安全
0.318025968322*地震 0.201540693474*云南 0.181202231761*鲁甸 0.151310324116*龙头 0.147920782327*孩子
0.411889012503*地震 0.174068796981*汶川 0.171442539424*海啸 0.13682005659*小学 0.105779594502*准备
