0.321376615819*后会无期 0.188082570823*电影 0.180740204141*时代 0.158430465582*白发 0.151370143635*闺蜜
0.205422700531*谢樵 0.200500088555*追悼会 0.200109384007*地震 0.199250033001*鲁甸 0.194717793906*堰塞湖
0.273003378053*时代 0.268291586885*电影 0.259422704647*后会无期 0.101997060792*中国 0.0972852696229*韩寒
0.393821575288*地震 0.163121325494*小时 0.160201176736*鲁甸 0.143513973464*伤员 0.139341949017*战士
0.321248575653*金砖 0.198067757846*马航 0.16183783696*市民 0.15942291477*武汉 0.15942291477*心情
0.379158026529*昆山 0.191895673011*爆炸 0.148191851753*政府 0.143560874685*中国 0.137193574022*巡视
0.22213948353*灾区 0.21433200651*地震 0.212937979712*鲁甸 0.203271714465*云南 0.147318815783*爱心
0.277453974875*地震 0.197913188762*英雄 0.190215427399*公安 0.187478789078*云南 0.146938619885*总队
0.231782355341*时代 0.214434240252*世界 0.204024580942*朋友 0.18320664527*友情 0.166552178195*认识
0.320375462985*地震 0.234727957042*云南 0.232805878829*鲁甸 0.120462184062*灾区 0.0916285170821*爱心
0.295485549348*地震 0.21591409043*严重 0.16691013685*大旱 0.164969087173*河南 0.156721136199*鲁甸
0.268861883907*时代 0.199617914911*人生 0.180516178601*李易峰 0.177173493658*杨幂 0.173830528923*古剑
0.285462565037*地震 0.20519554711*转发 0.18388814042*应急 0.165207809091*黄金 0.160245938342*告诉
0.427021130663*地震 0.151802932898*房子 0.146848354976*逃生 0.144145505649*台风 0.130182075814*设备
0.399486269953*地震 0.167604923742*鲁甸 0.151236638143*发生 0.146462651264*云南 0.135209516899*灾区
0.341785752282*马航 0.180240706881*白银 0.176680678242*黄金 0.162439605231*现货 0.138853257364*纸黄金
0.405683804057*地震 0.235687747254*发生 0.148679710247*中国 0.106717209216*云南 0.103231529226*捐款
0.261316124821*地震 0.236247616589*鲁甸 0.186996256536*云南 0.172646019875*灾区 0.142793982179*鲁甸县
0.558006517754*时代 0.124792692405*电影 0.114358955451*同款 0.106846416604*顾里 0.0959954177857*后会无期
0.33519509231*地震 0.185656596117*汶川 0.17497506735*重建 0.163276613447*心灵 0.140896630777*改变
