0.336339077473*地震 0.207674647771*发生 0.155193194823*云南 0.15124300847*高雄 0.149550071462*台湾
0.26759967582*巡视 0.213546646412*中央 0.206873490384*工作 0.168502344384*领导 0.143477843*指导
0.2466795357*地震 0.200144142399*灾区 0.199217479745*鲁甸 0.189642734416*云南 0.16431610774*爱心
0.242546258332*地震 0.224213910744*海啸 0.208098171562*小学 0.165793954567*汶川 0.159347704796*社会
0.427336047844*地震 0.156018779596*台风 0.149480858717*设备 0.134027964223*房子 0.133136349621*感情
0.242502189912*地震 0.219606465921*灾区 0.212189583726*鲁甸 0.165323118435*云南 0.160378642007*捐款
0.349748161369*后会无期 0.250065612833*时代 0.230473481415*电影 0.0897543275808*韩寒 0.0799584168018*闺蜜
0.248609466522*地震 0.206249616759*高雄 0.191667098278*高雄 0.1777787303*台湾 0.175695088141*后会无期
0.229409315015*时代 0.202775061764*朋友 0.192479773328*遇到 0.189346471679*友情 0.185989378213*认识
0.22103796895*巡视 0.206391278114*伤员 0.201731083498*女神 0.185752746308*名字 0.185086923131*南丁格尔
0.311109968723*地震 0.194162132772*云南 0.193032115145*鲁甸 0.177589697317*谢樵 0.124106086042*落石
0.341689569144*地震 0.233644506096*鲁甸 0.177342432981*灾区 0.138591962055*云南 0.108731529723*救援
0.271613031803*地震 0.245031782328*发生 0.1689034048*云南省 0.168129038349*鲁甸县 0.14632274272*昭通市
0.347796267774*地震 0.266273800754*后会无期 0.17008861805*电影 0.123756110627*时代 0.0920852027947*希望
0.35811218523*地震 0.183484447599*云南 0.172982127637*鲁甸 0.159802669031*灾区 0.125618570503*救援
0.294095489012*昆山 0.242360198129*爆炸 0.174306032052*事故 0.159723058819*发生 0.129515221988*安全
0.293425376076*地震 0.264805504119*鲁甸 0.191272415041*云南 0.150184425391*灾区 0.100312279373*鲁甸县
0.322180046389*地震 0.185125382947*应急 0.174407817658*转发 0.164339876745*食物 0.153946876262*黄金
0.245948782813*地震 0.197360951394*玫瑰 0.194961384943*重庆 0.193761601717*男子 0.167967279132*扎西
0.376733672649*马航 0.210379488081*事件 0.139019000031*航班 0.137165643078*金砖 0.136702196161*地震
