0.317692715892*地震 0.20370366767*重庆 0.168313454663*男子 0.157614081476*玫瑰 0.152676080299*环卫工
0.276970247279*后会无期 0.187670251954*高手 0.184043834792*闺蜜 0.179964291251*驯龙 0.171351374724*白发
0.32530265665*地震 0.245013602499*灾区 0.184149636695*云南 0.161875596757*鲁甸 0.0836585073987*工作
0.268926778588*地震 0.24850712212*海啸 0.184357310004*小学 0.154498295935*汶川 0.143710493354*社会
0.221317929732*老虎 0.202332496128*落马 0.194738322687*中国 0.193653440767*处理 0.187957810686*墨宝
0.248122415418*白银 0.242284513391*现货 0.204336894631*马航 0.160968227337*黄金 0.144287949223*事件
0.216936566029*世界 0.204934510814*时代 0.197154292422*遇到 0.191598893909*朋友 0.189375736826*友情
0.32635356617*地震 0.169887706671*孩子 0.168814047083*阳厚金 0.167740754935*身体 0.167203925141*护住
0.304173719404*地震 0.244035277671*发生 0.164761830689*中国 0.149354627653*深度 0.137674544583*震源
0.269666323985*昆山 0.241479852195*地震 0.183424847852*发生 0.172907452124*爆炸 0.132521523843*事故
0.22649793504*鲁甸 0.222317397569*地震 0.207310361491*灾区 0.20345170499*云南 0.14042260091*爱心
0.36327885676*地震 0.174026827836*灾区 0.164020340356*云南 0.162497686622*爱心 0.136176288426*鲁甸
0.317331325544*后会无期 0.250332415028*电影 0.23599926367*时代 0.10166843507*感觉 0.0946685606884*中国
0.258329510911*地震 0.206600985659*重建 0.199301892969*需要 0.181530026477*汶川 0.154237583983*心灵
0.388404222057*地震 0.25108301233*鲁甸 0.133262014973*云南 0.121886375784*人员 0.105364374856*龙头
0.284619638665*马航 0.213943237882*乘客 0.17755234456*马来西亚 0.166634996724*MH370 0.157249782169*客机
0.298027341391*时代 0.261117952004*后会无期 0.234066617*电影 0.107749852353*韩寒 0.0990382372517*喜欢
0.376938120766*地震 0.194816552381*发生 0.194464038941*灾区 0.117595858342*鲁甸 0.11618542957*救援
0.272899048291*地震 0.207833294777*鲁甸 0.184617926063*灾区 0.17877459525*云南 0.155875135619*鲁甸县
0.400305112747*地震 0.21386228421*鲁甸 0.153542959009*云南 0.126563712077*发生 0.105725931957*灾区
