0.235094337207*云南 0.226964460593*地震 0.225948012657*鲁甸 0.179539611386*灾区 0.132453578157*活动
0.270563040176*地震 0.243371256168*中国 0.179130011124*灾区 0.178790227151*云南 0.128145465382*鲁甸
0.348982624842*地震 0.24004454052*鲁甸 0.171300395606*灾区 0.122090043536*云南 0.117582395496*生命
0.273318474823*地震 0.211933964153*巡视组 0.188272097586*巡视 0.167695818708*工作 0.15877964473*四川
0.352761467758*地震 0.187842827928*鲁甸 0.176383411216*需要 0.147485053248*灾区 0.13552723985*重建
0.242600041186*古剑 0.24114466865*奇谭 0.235404032537*古剑 0.140708617918*提醒 0.140142639709*追剧
0.288460471592*地震 0.219847919742*鲁甸 0.205840383939*灾区 0.157882626636*云南 0.127968598091*捐款
0.281149426295*地震 0.218317101345*鲁甸 0.183386855814*灾区 0.165708519348*震区 0.151438097199*云南
0.306899582806*马航 0.212865243231*乘客 0.185731090669*MH370 0.158830935457*失联 0.135673147837*马来西亚
0.280954901301*古剑 0.280157735528*奇谭 0.272700305865*古剑 0.093983599044*李易峰 0.0722034582623*电视剧
0.233404317298*地震 0.218465565365*鲁甸 0.193642673197*灾区 0.189037486599*爱心 0.165449957541*力量
0.308063509248*地震 0.189504650117*重庆 0.179786721509*昆山 0.16278026512*骨折 0.159864854007*男子
0.503189453506*地震 0.213474875671*发生 0.125000610134*汶川 0.0804972963756*鲁甸 0.077837764314*灾难
0.357362494455*地震 0.174935736553*黄金 0.163307850775*应急 0.154264175939*告诉 0.150129742278*朋友
0.510559736469*后会无期 0.189969671687*电影 0.136752711246*韩寒 0.0859549581568*故事 0.0767629224406*人生
0.252743625917*地震 0.216237460293*台风 0.181771815785*感情 0.176155290765*逃生 0.173091807239*房子
0.224729327763*小苹果 0.220247108922*阴影 0.191499301871*孩子 0.183462276979*陆军 0.180061984464*红军
0.22080165869*地震 0.210730216453*小学 0.203176322144*海啸 0.1865196388*改革 0.178772163913*准备
0.351043611367*后会无期 0.180889750323*驯龙 0.16964803745*庞贝 0.152275314739*白发 0.146143286121*春刀
0.284539754319*地震 0.214089794038*鲁甸 0.192172138627*灾区 0.159295820527*云南 0.149902492489*发生
