0.387047499651*地震 0.194948697711*发生 0.145500871525*冰桶 0.139808889342*挑战 0.132694041771*雅安
0.284012402589*奇谭 0.282834941596*古剑 0.281216933972*古剑 0.0783946721092*晴雪 0.0735410497345*李易峰
0.43089031635*后会无期 0.184669155508*故事 0.143245227486*人生 0.138212469061*喜欢 0.102982831596*感觉
0.236736273249*巡视组 0.205238311469*反馈 0.192971248799*干部 0.186339931677*领导 0.178714234806*违法
0.355105879878*地震 0.193227645494*灾区 0.172911145567*发生 0.166575761599*鲁甸 0.112179567463*云南
0.20666416148*产科医生 0.202354927838*收获 0.198895482763*剧 0.197984883639*追剧 0.19410054428*删减
0.211592757551*古剑 0.211426620573*奇谭 0.201461443819*古剑 0.193489442814*删减 0.182029735243*乐
0.219449564321*奇谭 0.205214327273*古剑 0.196257217153*提醒 0.193698147514*删减 0.18538074374*追剧
0.516458718031*后会无期 0.198192484485*电影 0.11362282381*韩寒 0.109964311327*时代 0.0617616623468*爱情
0.458488083394*地震 0.160232686714*云南 0.148030528917*应急 0.117824727139*群众 0.115423973836*救援队
0.243396159599*后会无期 0.189718976201*记忆 0.18915089862*结局 0.18915089862*时光 0.18858306696*幸福
0.213551774835*追剧 0.203279352508*消息 0.201896493017*季节 0.193006682001*钟情 0.188265697639*视网
0.229128582379*地震 0.223986613519*鲁甸 0.194192391286*灾区 0.192680033959*云南 0.160012378857*爱心
0.239455259502*收获 0.194424769118*删减 0.190136185125*逃生 0.188706657127*视网 0.187277129129*古剑
0.261993208236*地震 0.214957722152*重庆 0.184854241246*男子 0.169332611871*背着 0.168862216494*玫瑰
0.221060802961*古剑 0.221060802961*古剑 0.213776645285*奇谭 0.174188657371*收获 0.169913091422*乐
0.261486851364*奇谭 0.258897737128*古剑 0.240775425135*古剑 0.122332523553*演员 0.11650746282*巡视
0.281369610253*奇谭 0.275408829307*古剑 0.267063233977*古剑 0.0897184965211*中国 0.0864398299422*电视剧
0.247207927629*古剑 0.22819176029*奇谭 0.192574433909*古剑 0.172955188829*消息 0.159070689343*视网
0.398966307499*地震 0.201237321038*海啸 0.164742891204*汶川 0.121031866015*小学 0.114021614244*世界
