0.203253428175*古剑 0.201765345235*奇谭 0.199026016422*古剑 0.198383510284*追剧 0.197571699883*视网
0.221997132652*永善 0.213117206178*地震 0.197772196471*受伤 0.189827125493*造成 0.177286339205*受损
0.298302726575*地震 0.214864523602*鲁甸 0.207141053327*云南 0.163459252785*灾区 0.116232443711*救援
0.264919769917*地震 0.212565089292*孩子 0.180105232715*老人 0.171728449757*受损 0.170681458318*房屋
0.255213724717*地震 0.246011509845*中国 0.182515748194*挑战 0.181902151074*冰桶 0.134356866169*云南
0.294359981183*古剑 0.264509295793*古剑 0.262021716017*奇谭 0.0928711858968*可爱 0.0862378211107*爸爸去哪儿
0.284612198981*地震 0.242093561908*永善 0.164496882441*灾区 0.154664461519*发生 0.154132895151*永善县
0.282047094009*冰桶 0.271027559808*挑战 0.154415180937*接受 0.149672548977*侧索 0.142837616269*肌萎缩
0.205017086731*凉鞋 0.202964545166*男鞋 0.199315890607*休闲鞋 0.197263349042*网鞋 0.195439128454*英伦
0.452095376603*地震 0.15696492125*鲁甸 0.137805193851*云南 0.132278273841*灾区 0.120856234456*发生
0.450576764199*地震 0.154747907097*永善 0.143044852545*祈福 0.126790492625*云南 0.124839983533*日本
0.352139635986*地震 0.167930565147*发生 0.164139333182*中国 0.163916555819*昭通市 0.151873909866*台网
0.235883950924*微信 0.233377159498*精彩 0.220091345122*关注 0.205928321055*新款 0.104719223402*夏装
0.288489210199*奇谭 0.286170812571*古剑 0.280321484471*古剑 0.0831039970046*李易峰 0.061914495754*电视剧
0.32876285912*地震 0.229490667557*发生 0.218899152938*云南 0.121911544248*鲁甸 0.100935776136*永善
0.436185093489*地震 0.16304865748*房子 0.146286876568*台风 0.128763514809*一大 0.125715857654*逃生
0.346246502127*地震 0.215006608489*告诉 0.155525769135*海啸 0.141883334062*汶川 0.141337786188*小学
0.233505931582*古剑 0.208044337013*奇谭 0.20399297227*季节 0.195023228031*古剑 0.159433531104*乐
0.232307506214*巡视组 0.214871716832*中央 0.188376160422*反馈 0.182393244435*领导 0.182051372097*违法
0.22556258252*永善县 0.216077046864*发生 0.190192906072*云南省 0.186548867901*地震 0.181618596642*昭通市
