0.437594705837*红包 0.370089651424*飞 0.0690762952873*时间 0.0667214951994*体育 0.0565178522527*星座
0.325226962094*红包 0.253551453011*过年 0.201768078705*春晚 0.110831891525*爸妈 0.108621614666*回家
0.294092398993*春晚 0.217122742044*马 0.1794608724*联排 0.156411351563*小品 0.152912635*节目
0.43041640491*春晚 0.188466740893*卫视 0.16799113637*中国 0.113248851685*直播 0.099876866143*小年夜
0.516346322277*春晚 0.158309214612*节目 0.112518312977*娱乐 0.106849252353*彩排 0.105976897782*央视春晚
0.306558652902*湖南卫视 0.297055604172*春晚 0.153587568331*邓紫棋 0.122932025807*我是歌手 0.119866148788*小年夜
0.366495525693*春晚 0.221816119754*歌曲 0.166134924728*马 0.135099700122*演唱 0.110453729703*节目单
0.532939506904*春晚 0.134672709142*春节 0.120346855712*关注 0.11031822015*中国 0.101722708092*直播
0.459775961454*春晚 0.219052459013*春节 0.110099469657*晚上 0.106677133682*期待 0.104394976193*准备
0.365257281343*春晚 0.281820769478*李敏镐 0.121755945564*央视春晚 0.117072889256*马 0.114093114359*庾澄庆
0.439217046006*春晚 0.181202642323*湖南卫视 0.12968973983*小时候 0.125171127013*习惯 0.124719444829*电视机
0.273364981861*春晚 0.214572453465*春节 0.185929876188*联欢晚会 0.168845114657*央视 0.157287573829*央视春晚
0.224146601064*红包 0.212765357272*过年 0.200395714837*拜年 0.181593485187*对联 0.181098841641*年夜饭
0.496721470388*春晚 0.134878431291*直通 0.133368559351*舞台 0.12481305111*节目 0.11021848786*观众
0.395240599578*春晚 0.170813288683*红包 0.159757864878*飞 0.157546780117*现场 0.116641466743*北京
0.237097741246*春晚 0.218269885719*彩排 0.188284899965*李敏镐 0.182009099186*飞 0.174338373884*中国
0.276861795949*新年 0.239582173946*手机 0.208333254731*活动 0.149672478854*春晚 0.12555029652*自由
0.390720878594*红包 0.3325163925*飞 0.11534420377*头条 0.110555905744*博客 0.0508626193915*中国
0.375841032308*红包 0.36230676115*飞 0.0989098185138*安徽 0.0874575708011*弟弟 0.0754848172272*尿毒症
0.318005726034*春晚 0.22570494065*冯小刚 0.177987062837*央视春晚 0.163010074147*导演 0.115292196333*赵本山
