0.211991246688*古剑 0.204908446155*古剑 0.201202525805*消息 0.192143111381*发现 0.189754669971*提醒
0.226275299064*云南 0.214888377913*地震 0.205397844205*鲁甸 0.182624001904*爱心 0.170814476915*灾区
0.347981586899*地震 0.196479113069*灾区 0.192109891876*鲁甸 0.159470833806*云南 0.103958574349*发生
0.207795599186*精彩 0.203111965289*微信 0.20186299625*关注 0.193952957469*连衣裙 0.193276481807*新款
0.236885687966*微信 0.228565127362*关注 0.219737900542*精彩 0.183633712701*新款 0.131177571428*奇谭
0.214228368093*古剑 0.211418404629*古剑 0.211106159467*奇谭 0.182694036676*视网 0.180553031135*乐
0.310578463184*挑战 0.307719053815*冰桶 0.137241411226*冰水 0.125685416644*名人 0.118775655131*点名
0.32550345047*地震 0.175314423473*朋友 0.16876057039*应急 0.166029979298*食物 0.164391576369*黄金
0.321562928082*冰桶 0.311941487688*挑战 0.141539517676*冰水 0.136580224249*接受 0.0883758423043*美国
0.240279711766*奇谭 0.220301778255*古剑 0.220301778255*古剑 0.16360794698*发现 0.155508784745*巡视
0.400634656052*昆山 0.179170484081*地震 0.150040794303*安全 0.138468952451*爆炸 0.131685113113*中国
0.217104165276*鲁甸 0.202798197161*救援 0.199968571301*救灾 0.195566815188*昭通 0.184562251074*公益
0.214708481214*冰桶 0.206017172733*侧索 0.205730680676*挑战 0.200477626684*硬化症 0.173066038693*活动
0.283926013146*冰桶 0.237498970042*挑战 0.174405481768*手机 0.15238219276*中央 0.151787342284*消息
0.449244488557*地震 0.146114717911*灾区 0.137986180351*重建 0.13461599563*汶川 0.132038617551*鲁甸
0.32006942076*地震 0.245656636235*发生 0.17572710973*云南 0.136434508069*永善 0.122112325207*永善县
0.325817748811*冰桶 0.300817356267*挑战 0.203278397498*中国 0.0934446470006*活动 0.0766418504226*现货
0.208775996803*产科医生 0.199076169079*钟情 0.198244694786*剧 0.197413485126*发现 0.196489654205*提醒
0.29118994257*古剑 0.290470135954*奇谭 0.288185532346*古剑 0.0704250447636*屠苏 0.0597293443668*晴雪
0.267658503753*地震 0.249398697761*海啸 0.176037653462*大学 0.172834166029*小学 0.134070978995*汶川
