0.215965169021*微信 0.213530695947*精彩 0.192196809321*古剑 0.189441958621*奇谭 0.18886536709*古剑
0.238434381167*地震 0.223717400677*感情 0.199327207533*台风 0.174096449479*监狱 0.164424561144*房子
0.202704756116*古剑 0.202704756116*发现 0.199938857172*奇谭 0.197632433919*古剑 0.197019196677*提醒
0.394298337452*地震 0.191482910051*灾区 0.182904846766*鲁甸 0.137255978604*云南 0.0940579271278*工作
0.336424365442*地震 0.236455737579*发生 0.22029298194*昆山 0.104760392959*企业 0.102066522079*云南
0.309854695264*昆山 0.24256496263*事故 0.176839621985*凤凰网 0.140847471781*巡视组 0.12989324834*总局
0.28412307947*古剑 0.280604685269*奇谭 0.276111574281*古剑 0.0836350150434*电视剧 0.0755256459362*李易峰
0.237155441442*地震 0.192851917794*黄金 0.192107164946*朋友 0.191362632832*告诉 0.186522842987*遇到
0.321617465898*冰桶 0.253247610398*挑战 0.149308251882*挑战赛 0.139084802762*侧索 0.13674186906*硬化症
0.411020689648*地震 0.169246160109*日本 0.149904279059*重庆 0.135881555055*男子 0.133947316129*玫瑰
0.309812697692*冰桶 0.301949810255*挑战 0.133054523541*点名 0.130910190196*接受 0.124272778315*雷军
0.331055619871*冰桶 0.318153268285*挑战 0.142380493687*活动 0.106709844704*接受 0.101700773454*慈善
0.239303675712*巡视 0.209224130721*手机 0.206550612619*发现 0.173797549525*古剑 0.171124031423*奇谭
0.23783462803*地震 0.204146159067*海啸 0.19752360433*大学 0.193204654319*小学 0.167290954254*社会
0.216877201567*侧索 0.21357869112*冰桶 0.202583842494*硬化症 0.190764226607*挑战 0.176196038212*肌萎缩
0.275091711268*冰桶 0.264507664708*挑战 0.16118050506*公益 0.150417282545*罕见 0.148802836419*点名
0.322647562226*挑战 0.302053526299*冰桶 0.133870943837*加油 0.128150548658*接受 0.113277418979*古剑
0.367570268028*冰桶 0.335594539118*挑战 0.115734121757*吸毒 0.115451080289*柯震东 0.0656499908068*房祖名
0.377756283906*地震 0.25207002843*中国 0.127764857558*北京 0.122931061441*查看 0.119477768665*发生
0.293513319673*地震 0.227250352102*鲁甸 0.201356783996*云南 0.173726299767*灾区 0.104153244462*爱心
