0.209076856841*冰桶 0.203210100782*挑战 0.200928909129*罕见 0.195388246258*侧索 0.19139588699*肌萎缩
0.256046702015*地震 0.224040108339*海啸 0.186676278665*大学 0.185517698583*小学 0.147719212397*汶川
0.307446956755*冰桶 0.286251821187*挑战 0.14897040532*接受 0.136391277249*点名 0.12093953949*冰水
0.348033191188*冰桶 0.300792662306*挑战 0.133050966289*活动 0.11035327499*参与 0.107769905227*挑战赛
0.382264955655*地震 0.19627383484*重庆 0.147125764217*男子 0.139737582098*玫瑰 0.13459786319*羌族
0.241625431975*灾区 0.229119863592*地震 0.196739666801*爱心 0.17619483302*云南 0.156320204613*鲁甸
0.352554475159*冰桶 0.33434500464*挑战 0.11557634614*侧索 0.102950479803*脊髓 0.0945736942574*中国
0.320425044968*冰桶 0.286570015157*挑战 0.133248555445*公益 0.13182548961*罕见 0.127930894819*中国
0.296787777475*奇谭 0.28909654333*古剑 0.286930373735*古剑 0.067289384068*苏苏 0.0598959213916*电视剧
0.279212925505*冰桶 0.240777009462*关注 0.218687597488*微信 0.130992517954*挑战 0.130329949591*连衣裙
0.403696986981*地震 0.164562558396*灾区 0.152389475625*鲁甸 0.147339993918*发生 0.132010985081*云南
0.229999483549*昆山 0.206428573852*安全 0.202857143934*生产 0.182619418039*中荣 0.178095380626*金属制品
0.230757939032*发生 0.219923979236*地震 0.19909944975*中国 0.183340598825*台网 0.166878033157*测定
0.356151935963*挑战 0.352898741728*冰桶 0.109875768212*关注 0.0929327996892*接受 0.0881407544081*希望
0.368591397539*冰桶 0.344802318429*挑战 0.114415665908*活动 0.0982731502314*关注 0.0739174678925*明星
0.345549604967*地震 0.187601131993*房子 0.157413344219*台风 0.156335255555*逃生 0.153100663266*施工
0.401593225904*冰桶 0.315799309819*挑战 0.118776506412*点名 0.090969013993*接力 0.0728619438727*接受
0.288499828098*古剑 0.284876519034*古剑 0.280294029772*奇谭 0.0780139482155*电视剧 0.0683156748806*李易峰
0.249815952609*朋友 0.218680638214*转发 0.209855078447*生存 0.161559666903*地震 0.160088663827*黄金
0.291033766028*冰桶 0.256912793967*挑战 0.190901096848*吸毒 0.14139240925*房祖名 0.119759933907*地震
